object_id,people_or_machine,canonical_label,static_cluster_id,label_counts,mean_projected_x,mean_projected_y,anchor_x,anchor_y,observations,first_seen,last_seen,clustering_method,dbscan_eps,dbscan_label,dbscan_min_samples,kmeans_clusters,kmeans_label,kmeans_random_state,gmm_selected_components,gmm_bic,gmm_max_components,gmm_label,gmm_random_state
cableduct_1,machine,Cableduct,dbscan_cableduct_0001,Cableduct:4830,11.865936,3.320936,11.689842,3.324211,4830,2025-04-23 13:29:02,2025-05-07 15:17:46,dbscan_cableduct_global_median_anchor,0.300000,Cableduct,200,,,,,,,,
cableduct_2,machine,Cableduct,dbscan_cableduct_0000,Cableduct:6217,7.385764,3.398620,7.344941,3.358257,6217,2025-04-23 13:29:02,2025-05-07 15:17:46,dbscan_cableduct_global_median_anchor,0.300000,Cableduct,200,,,,,,,,
cableduct_3,machine,Cableduct,dbscan_cableduct_0002,Cableduct:9868,8.268375,4.767534,8.569186,4.870527,9868,2025-04-23 13:30:02,2025-05-07 15:17:46,dbscan_cableduct_global_median_anchor,0.300000,Cableduct,200,,,,,,,,
cableduct_4,machine,Cableduct,dbscan_cableduct_0003,Cableduct:7116,9.956326,5.146524,9.930647,5.144580,7116,2025-04-23 13:30:02,2025-05-07 15:17:46,dbscan_cableduct_global_median_anchor,0.300000,Cableduct,200,,,,,,,,
chair_1,machine,Chair,dbscan_chair_0000,Chair:188,3.515678,0.965430,3.538835,0.966093,188,2025-04-24 10:19:48,2025-04-30 12:18:19,dbscan_chair_global_median_anchor,0.300000,Chair,8,,,,,,,,
machine_1,machine,Machine,dbscan_machine_0004,Machine:532,4.471362,0.446044,4.528574,0.446737,532,2025-04-24 06:46:16,2025-05-07 12:25:46,dbscan_machine_global_median_anchor,0.400000,Machine,200,,,,,,,,
machine_2,machine,Machine,dbscan_machine_0000,Machine:5284,6.485154,0.465424,6.476916,0.453659,5284,2025-04-23 13:28:31,2025-05-07 15:16:16,dbscan_machine_global_median_anchor,0.400000,Machine,200,,,,,,,,
machine_3,machine,Machine,dbscan_machine_0003,Machine:700,2.643364,0.556949,2.599922,0.517394,700,2025-04-23 15:34:32,2025-05-07 15:14:46,dbscan_machine_global_median_anchor,0.400000,Machine,200,,,,,,,,
machine_4,machine,Machine,dbscan_machine_0002,Machine:1903,0.700110,0.916216,0.735536,0.811402,1903,2025-04-23 14:05:33,2025-05-07 14:51:46,dbscan_machine_global_median_anchor,0.400000,Machine,200,,,,,,,,
machine_5,machine,Machine,dbscan_machine_0005,Machine:574,2.280134,2.268907,2.241497,2.250043,574,2025-04-29 06:59:12,2025-05-07 12:26:16,dbscan_machine_global_median_anchor,0.400000,Machine,200,,,,,,,,
machine_6,machine,Machine,dbscan_machine_0001,Machine:7586,4.829160,5.343552,4.627599,5.335778,7586,2025-04-23 13:29:02,2025-05-07 15:16:46,dbscan_machine_global_median_anchor,0.400000,Machine,200,,,,,,,,
screen_1,machine,Screen,dbscan_screen_0001,Screen:8715,11.243371,4.132158,11.239784,4.130199,8715,2025-04-23 13:30:02,2025-05-07 15:17:46,dbscan_screen_global_median_anchor,0.150000,Screen,200,,,,,,,,
screen_2,machine,Screen,dbscan_screen_0000,Screen:7692,11.148436,4.869258,11.149738,4.865085,7692,2025-04-23 13:29:02,2025-05-07 15:12:46,dbscan_screen_global_median_anchor,0.150000,Screen,200,,,,,,,,
window_1,machine,Window,dbscan_window_0000,Window:2252,1.380556,0.444740,1.359293,0.425851,2252,2025-04-23 13:29:02,2025-05-07 15:17:46,dbscan_window_global_median_anchor,0.200000,Window,500,,,,,,,,
