feature,importance
hour,762
minute,664
temp_roll_std_30,423
source_temp,358
object_id,330
day_of_week,286
temp_roll_std_20,272
target_minutes_ahead,217
temp_roll_mean_30,212
temp_roll_mean_20,206
temp_roll_mean_10,199
temp_roll_mean_5,155
temp_roll_std_5,151
temp_roll_std_10,144
nearest_person_dx,140
display_x,135
temp_lag_1,105
temp_lag_30,95
nearest_person_dy,88
display_y,77
mean_person_distance,57
temp_lag_25,54
nearest_person_distance,52
temp_lag_29,50
temp_lag_2,47
temp_lag_6,44
temp_lag_16,43
temp_lag_21,40
temp_lag_26,39
temp_lag_24,39
temp_lag_19,38
temp_lag_20,36
temp_lag_18,36
temp_lag_17,35
temp_lag_28,34
temp_lag_27,34
temp_lag_12,32
temp_lag_8,32
temp_lag_5,31
people_count_total,31
temp_lag_23,30
anchor_x,29
seconds_since_previous,28
temp_lag_13,27
temp_lag_15,26
temp_lag_11,26
temp_lag_9,26
temp_lag_3,25
temp_lag_10,23
temp_delta_1,23
temp_lag_22,21
temp_lag_7,18
temp_lag_4,15
temp_lag_14,13
anchor_y,9
canonical_label,7
people_count_within_1m,6
observations_in_frame,3
people_count_within_3m,1
people_count_within_2m,1
