split,people_group,rows,mae,rmse,r2
train,all_rows,32375,0.28807487727926817,0.41874956591080137,0.8639065598757669
train,no_person_detected,20550,0.23865240104459864,0.3605351041638899,0.8858866208177989
train,person_detected,11825,0.3739634089175312,0.5041721727293585,0.8048043562506892
train,person_within_1m,699,0.4121544022957928,0.5653054188291795,0.8615499170737315
train,person_within_2m,2115,0.4131308266155692,0.5523754391031672,0.8300033756093251
train,person_within_3m,4165,0.3994191259277722,0.5377238902509719,0.8147572405551181
valid,all_rows,7377,0.4975040490009933,0.6351368014338147,0.36454639068175765
valid,no_person_detected,5424,0.43258218392823156,0.5343110853817301,0.3152574543337956
valid,person_detected,1953,0.6778093209695851,0.8549077895156701,0.17246829724654955
valid,person_within_1m,94,0.7307278130838082,0.9101848588980195,0.1782295036615955
valid,person_within_2m,432,0.6843314536470196,0.874780152618064,0.14265243616281875
valid,person_within_3m,847,0.682191031898567,0.8830698411999672,0.17818304619652947
test,all_rows,15275,0.3689011773888923,0.4939310358287276,0.6583782726779488
test,no_person_detected,9735,0.32678865399226437,0.43263738890025516,0.6941264653138135
test,person_detected,5540,0.4429021548737611,0.5863149754689305,0.5685055860683612
test,person_within_1m,233,0.43964535338871386,0.5691583344125387,0.3717551806376408
test,person_within_2m,932,0.4330634531477938,0.5958075164825087,0.6154813705104865
test,person_within_3m,1741,0.4288015602604246,0.5824756223199996,0.5908436244428867
