split,people_group,rows,mae,rmse,r2
train,all_rows,32475,0.27704364092314404,0.42538629369833203,0.8589372356712395
train,no_person_detected,20648,0.2182325603299009,0.35025470505996714,0.8890468820328488
train,person_detected,11827,0.3797181308266938,0.5316881842594405,0.7804623393245853
train,person_within_1m,711,0.46031405674634956,0.6323261499425011,0.8209677279276585
train,person_within_2m,2140,0.45046973512007316,0.6279227178714752,0.7911048983777598
train,person_within_3m,4186,0.4223280621308071,0.5858633748210778,0.7832304956814025
valid,all_rows,7424,0.4179464276706691,0.5587786630898497,0.48439287861623326
valid,no_person_detected,5488,0.3606439416871876,0.4892055629810203,0.4182794282543306
valid,person_detected,1936,0.5803824003345877,0.7203586879073053,0.294961156144233
valid,person_within_1m,94,0.547016975699785,0.6748713125098291,0.46568277684353865
valid,person_within_2m,431,0.5618602729618093,0.6989200666060249,0.2730970593722226
valid,person_within_3m,846,0.568897221653004,0.7158233546408744,0.3153977713856676
test,all_rows,15350,0.30651644983913795,0.4243913936335099,0.7481262017583494
test,no_person_detected,9776,0.25709492747269325,0.3575187228961691,0.7921909334017185
test,person_detected,5574,0.3931947423856689,0.521358295860985,0.6492660050780477
test,person_within_1m,238,0.478191748320018,0.6070983613161082,0.31763506953093734
test,person_within_2m,943,0.43358382519255106,0.5839271880193586,0.6144868121543976
test,person_within_3m,1756,0.40897724226414195,0.5516754924437419,0.6175077835146827
