feature,importance
hour,267
source_temp,178
object_id,159
minute,127
target_minutes_ahead,103
temp_roll_std_30,91
temp_roll_mean_10,85
temp_roll_mean_20,77
temp_roll_mean_5,69
temp_roll_mean_30,65
temp_roll_std_20,65
day_of_week,47
temp_lag_1,45
nearest_person_dx,41
temp_roll_std_5,37
temp_lag_2,20
temp_roll_std_10,19
mean_person_distance,15
nearest_person_dy,14
temp_lag_25,13
temp_lag_30,12
display_x,10
display_y,8
temp_lag_29,8
temp_lag_6,8
temp_lag_27,7
temp_lag_21,7
temp_lag_12,6
temp_lag_28,6
temp_lag_11,6
nearest_person_distance,6
temp_lag_24,5
temp_lag_7,5
temp_lag_26,5
temp_lag_23,5
temp_lag_3,4
temp_lag_8,4
temp_lag_9,4
people_count_total,4
temp_lag_18,4
temp_lag_16,4
temp_lag_4,4
temp_lag_10,3
temp_lag_17,3
anchor_x,3
temp_lag_5,3
temp_delta_1,2
canonical_label,2
temp_lag_22,2
temp_lag_20,2
temp_lag_19,2
anchor_y,2
temp_lag_13,1
temp_lag_14,1
people_count_within_3m,0
people_count_within_2m,0
people_count_within_1m,0
seconds_since_previous,0
observations_in_frame,0
temp_lag_15,0
