feature,importance
temp_lag_1,458
temp_delta_1,424
hour,353
temp_roll_mean_20,214
temp_roll_mean_3,194
minute,185
temp_roll_mean_15,176
day_of_week,171
temp_roll_mean_5,140
object_id,132
temp_roll_std_20,106
target_minutes_ahead,85
temp_roll_std_15,75
temp_roll_mean_10,68
temp_roll_std_10,65
seconds_since_previous,64
nearest_person_dx,50
temp_roll_mean_1,50
temp_roll_std_5,46
temp_lag_20,42
nearest_person_dy,38
temp_lag_15,36
display_y,26
temp_roll_std_3,26
people_count_total,24
display_x,23
temp_lag_5,21
nearest_person_distance,15
mean_person_distance,15
temp_lag_10,14
temp_lag_3,11
anchor_y,7
anchor_x,3
observations_in_frame,2
people_count_within_3m,1
people_count_within_1m,0
canonical_label,0
people_count_within_2m,0
