canonical_label,feature,importance
Cableduct,hour,559
Cableduct,minute,451
Cableduct,source_temp,281
Cableduct,temp_roll_std_30,255
Cableduct,temp_roll_mean_30,226
Cableduct,target_minutes_ahead,221
Cableduct,temp_roll_mean_20,169
Cableduct,temp_roll_std_20,163
Cableduct,day_of_week,156
Cableduct,temp_roll_mean_5,151
Cableduct,temp_roll_std_10,149
Cableduct,temp_roll_mean_10,122
Cableduct,nearest_person_dx,121
Cableduct,temp_roll_std_5,113
Cableduct,temp_lag_1,98
Cableduct,nearest_person_dy,63
Cableduct,nearest_person_distance,60
Cableduct,seconds_since_previous,57
Cableduct,display_y,56
Cableduct,temp_lag_30,55
Cableduct,display_x,54
Cableduct,temp_lag_3,53
Cableduct,temp_lag_23,51
Cableduct,temp_lag_28,47
Cableduct,temp_lag_2,45
Cableduct,temp_lag_22,43
Cableduct,temp_lag_12,41
Cableduct,mean_person_distance,37
Cableduct,temp_lag_11,35
Cableduct,temp_lag_25,35
Cableduct,temp_lag_29,35
Cableduct,people_count_total,34
Cableduct,temp_lag_14,34
Cableduct,temp_lag_21,34
Cableduct,temp_delta_1,34
Cableduct,temp_lag_27,32
Cableduct,temp_lag_15,30
Cableduct,temp_lag_16,30
Cableduct,temp_lag_20,30
Cableduct,temp_lag_24,30
Cableduct,temp_lag_26,29
Cableduct,temp_lag_8,28
Cableduct,temp_lag_17,28
Cableduct,temp_lag_7,27
Cableduct,temp_lag_9,24
Cableduct,temp_lag_18,23
Cableduct,temp_lag_19,23
Cableduct,temp_lag_4,22
Cableduct,temp_lag_5,22
Cableduct,temp_lag_13,22
Cableduct,temp_lag_6,17
Cableduct,temp_lag_10,13
Cableduct,object_id,9
Cableduct,anchor_y,5
Cableduct,anchor_x,3
Cableduct,requested_horizon_min,3
Cableduct,people_count_within_2m,1
Cableduct,observations_in_frame,1
Cableduct,canonical_label,0
Cableduct,people_count_within_1m,0
Cableduct,people_count_within_3m,0
Machine,minute,863
Machine,hour,796
Machine,temp_roll_std_30,793
Machine,target_minutes_ahead,604
Machine,source_temp,528
Machine,temp_roll_std_20,486
Machine,temp_roll_std_10,373
Machine,nearest_person_dy,360
Machine,temp_roll_mean_20,348
Machine,temp_roll_std_5,320
Machine,temp_roll_mean_30,316
Machine,temp_roll_mean_5,293
Machine,temp_roll_mean_10,290
Machine,nearest_person_dx,269
Machine,nearest_person_distance,261
Machine,day_of_week,257
Machine,temp_delta_1,235
Machine,temp_lag_1,225
Machine,temp_lag_30,198
Machine,temp_lag_29,185
Machine,temp_lag_27,177
Machine,temp_lag_28,176
Machine,temp_lag_24,168
Machine,display_x,167
Machine,mean_person_distance,167
Machine,temp_lag_13,161
Machine,seconds_since_previous,159
Machine,temp_lag_12,158
Machine,temp_lag_18,150
Machine,temp_lag_6,149
Machine,temp_lag_9,148
Machine,temp_lag_3,144
Machine,temp_lag_22,142
Machine,temp_lag_2,139
Machine,display_y,137
Machine,temp_lag_8,133
Machine,temp_lag_4,132
Machine,temp_lag_20,125
Machine,temp_lag_11,124
Machine,temp_lag_25,124
Machine,temp_lag_7,113
Machine,temp_lag_23,112
Machine,temp_lag_10,111
Machine,temp_lag_19,110
Machine,temp_lag_17,109
Machine,temp_lag_21,107
Machine,temp_lag_14,97
Machine,temp_lag_26,97
Machine,object_id,92
Machine,temp_lag_5,89
Machine,temp_lag_15,86
Machine,temp_lag_16,65
Machine,people_count_total,58
Machine,requested_horizon_min,48
Machine,anchor_y,35
Machine,anchor_x,21
Machine,observations_in_frame,16
Machine,people_count_within_3m,14
Machine,canonical_label,0
Machine,people_count_within_1m,0
Machine,people_count_within_2m,0
Screen,hour,344
Screen,source_temp,268
Screen,temp_roll_std_30,222
Screen,minute,171
Screen,temp_roll_mean_20,138
Screen,target_minutes_ahead,137
Screen,temp_roll_mean_5,129
Screen,temp_roll_std_20,108
Screen,temp_roll_mean_30,107
Screen,temp_lag_1,93
Screen,temp_roll_mean_10,89
Screen,object_id,82
Screen,day_of_week,69
Screen,nearest_person_dx,60
Screen,temp_roll_std_10,59
Screen,temp_roll_std_5,54
Screen,temp_lag_2,52
Screen,temp_lag_19,37
Screen,temp_lag_24,29
Screen,temp_lag_30,29
Screen,nearest_person_dy,28
Screen,temp_lag_26,28
Screen,display_x,23
Screen,mean_person_distance,23
Screen,temp_lag_21,23
Screen,temp_lag_27,23
Screen,temp_lag_23,22
Screen,temp_lag_20,21
Screen,nearest_person_distance,20
Screen,temp_lag_17,20
Screen,seconds_since_previous,20
Screen,temp_lag_18,19
Screen,temp_lag_13,18
Screen,temp_lag_25,18
Screen,temp_lag_7,16
Screen,temp_lag_14,16
Screen,temp_lag_4,14
Screen,temp_lag_12,14
Screen,temp_lag_15,14
Screen,temp_lag_3,13
Screen,temp_lag_6,13
Screen,temp_lag_8,12
Screen,temp_lag_28,12
Screen,temp_lag_9,11
Screen,temp_lag_29,11
Screen,temp_lag_10,10
Screen,temp_lag_16,10
Screen,temp_lag_22,9
Screen,temp_lag_11,8
Screen,temp_lag_5,7
Screen,requested_horizon_min,5
Screen,people_count_total,4
Screen,display_y,3
Screen,temp_delta_1,2
Screen,people_count_within_1m,1
Screen,people_count_within_3m,1
Screen,observations_in_frame,1
Screen,canonical_label,0
Screen,anchor_x,0
Screen,anchor_y,0
Screen,people_count_within_2m,0
Window,target_minutes_ahead,622
Window,hour,348
Window,source_temp,291
Window,temp_roll_std_10,282
Window,temp_roll_std_20,280
Window,temp_roll_std_30,280
Window,minute,278
Window,temp_roll_std_5,246
Window,temp_lag_16,213
Window,temp_lag_18,180
Window,temp_lag_30,149
Window,temp_roll_mean_30,149
Window,temp_lag_15,148
Window,temp_roll_mean_5,145
