split,object_id,canonical_label,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
test,cableduct_1,Cableduct,5.0,705,0.5389781704312453,0.6663386259332817,-0.166438109767445,-0.2694109627869623,1.7097486368765473,0.9304964539007092
test,cableduct_1,Cableduct,10.0,712,0.5254516803364977,0.6288769434431049,-0.21010294795598128,-0.2773183648673164,1.7102828160839314,0.9382022471910112
test,cableduct_1,Cableduct,15.0,704,0.5516971523973058,0.6784141268875704,-0.2196607252258438,-0.30144419277701684,1.7089145665103123,0.9133522727272727
test,cableduct_1,Cableduct,20.0,689,0.5209710725240415,0.6326142747349798,-0.22273459810069385,-0.2817962064725249,1.7168069922395741,0.9143686502177069
test,cableduct_1,Cableduct,30.0,676,0.5336618013673327,0.6470611990765833,-0.27508355473279056,-0.31031739789522,1.7449163064992217,0.8698224852071006
test,cableduct_1,Cableduct,45.0,636,0.5531807281345688,0.6655615235044027,-0.34965672169028483,-0.3495749004171306,1.7778692849955493,0.8757861635220126
test,cableduct_1,Cableduct,60.0,607,0.5448328962463238,0.6465434739599392,-0.5190592083792132,-0.38286838326077105,1.7856013370270574,0.8665568369028006
test,cableduct_1,Cableduct,90.0,547,0.558674212783897,0.656437726935437,-0.7164782128870482,-0.4232687793084458,1.839862688539145,0.8080438756855576
test,cableduct_1,Cableduct,120.0,501,0.5774985089471789,0.6734928586948064,-0.6504310640300306,-0.4149269394021844,1.7840274283172046,0.7465069860279441
test,cableduct_2,Cableduct,5.0,803,0.41356987999047523,0.5935295555443568,0.1825976418525629,-0.18158802563535434,1.89817975660292,0.9427148194271482
test,cableduct_2,Cableduct,10.0,822,0.4454223883011084,0.6219431209626916,0.14398274486625906,-0.19430129441674332,1.8977823795293318,0.9221411192214112
test,cableduct_2,Cableduct,15.0,836,0.4816474419162681,0.674076505027717,0.11384825354669537,-0.24741620315830146,1.903714851298292,0.9150717703349283
test,cableduct_2,Cableduct,20.0,821,0.4740599436490425,0.661137765004492,0.13637907452391584,-0.2471812866811184,1.9204547329544435,0.9305724725943971
test,cableduct_2,Cableduct,30.0,779,0.4786315644317344,0.6616196507687021,0.06746596651569414,-0.24898617843383175,1.939231116577526,0.9024390243902439
test,cableduct_2,Cableduct,45.0,742,0.5096322512043575,0.7097286246184724,0.010941226559633588,-0.2950089487557946,1.9655424561883488,0.9299191374663073
test,cableduct_2,Cableduct,60.0,699,0.5549427983954753,0.7763476018170035,-0.12029289178404401,-0.37070335847777935,2.00097964001745,0.9113018597997139
test,cableduct_2,Cableduct,90.0,635,0.5828993964572418,0.8080052259318833,-0.15771233274083296,-0.388954714733949,2.0413858252346944,0.9023622047244094
test,cableduct_2,Cableduct,120.0,567,0.6049723078461161,0.8403237812764925,-0.2696810591892449,-0.4301200525616893,2.036932847964162,0.8994708994708994
test,cableduct_3,Cableduct,5.0,973,0.5574129062233972,0.7930386604813662,-0.1627274698857868,-0.3185511448768368,1.7762732942829906,0.9105858170606372
test,cableduct_3,Cableduct,10.0,998,0.5875705397354769,0.8137325397608072,-0.20288948113796645,-0.3537982258737662,1.788121683007775,0.9078156312625251
test,cableduct_3,Cableduct,15.0,992,0.6206634655211465,0.8648186263252471,-0.23335873715012267,-0.3923716165965412,1.791662965858843,0.8901209677419355
test,cableduct_3,Cableduct,20.0,982,0.542766628446865,0.7301009747866966,-0.23549055047930967,-0.3346168345087521,1.8172984195273003,0.9266802443991853
test,cableduct_3,Cableduct,30.0,936,0.550024200812333,0.7445165360027559,-0.22650254523651947,-0.33467336333210074,1.8510978782834118,0.9155982905982906
test,cableduct_3,Cableduct,45.0,898,0.6036629754481723,0.8637902072841642,-0.29144069212409196,-0.41729836305657175,1.8392777117442936,0.9020044543429844
test,cableduct_3,Cableduct,60.0,864,0.6484632885345881,0.8941704754785298,-0.41349224354601066,-0.4887160431172279,1.85643189415128,0.9016203703703703
test,cableduct_3,Cableduct,90.0,806,0.6562860180033959,0.8973069116858711,-0.4779049756437941,-0.515887101983719,1.8922170924790684,0.8759305210918115
test,cableduct_3,Cableduct,120.0,736,0.7091996004730816,0.9759329328860593,-0.5681034476674511,-0.5900355829454387,1.8593539186858765,0.8505434782608695
test,cableduct_4,Cableduct,5.0,1256,0.4229389806294582,0.6237308726267282,0.20935268918126038,-0.08043073825835259,1.8657776627666491,0.9195859872611465
test,cableduct_4,Cableduct,10.0,1276,0.4433987166539803,0.6478442409791711,0.17802050039833728,-0.09962856170599615,1.8723568020874346,0.9177115987460815
test,cableduct_4,Cableduct,15.0,1268,0.4408345511741501,0.6405567921074091,0.17269830376435347,-0.09359216163463305,1.8862410237571257,0.9053627760252366
