number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
0,0.5701481905421105,2026-05-27 00:50:24.870042,2026-05-27 00:50:30.220981,0 days 00:00:05.350939,0.038052091892039265,12,124,58,2.8257520714515276e-07,99,0.4297285212222514,0.46319719165442386,COMPLETE
1,0.5699328401850754,2026-05-27 00:50:30.221038,2026-05-27 00:50:32.174175,0 days 00:00:01.953137,0.05520138953395545,3,124,33,0.03853046809773397,153,0.4328870191968633,0.46360262605417557,COMPLETE
2,0.5716215758834132,2026-05-27 00:50:32.174249,2026-05-27 00:50:34.192355,0 days 00:00:02.018106,0.05027253932873333,12,50,18,4.910881717782746e-07,64,0.4361501074837274,0.4604191793681469,COMPLETE
3,0.5781247971281045,2026-05-27 00:50:34.192515,2026-05-27 00:50:40.902395,0 days 00:00:06.709880,0.02142099844547284,6,92,36,5.113649633234538e-06,189,0.43967405732026754,0.44807194032932784,COMPLETE
4,0.5715117299980151,2026-05-27 00:50:40.902581,2026-05-27 00:50:47.724286,0 days 00:00:06.821705,0.011239505740409895,4,79,85,0.00017455030150754618,399,0.43493253305214097,0.460626536964832,COMPLETE
5,0.5681261209076163,2026-05-27 00:50:47.724357,2026-05-27 00:50:53.100778,0 days 00:00:05.376421,0.02080510765641852,4,123,104,2.7041867594649292e-08,329,0.43183294896824054,0.4669980555712685,COMPLETE
6,0.5706050512337154,2026-05-27 00:50:53.100914,2026-05-27 00:51:05.604187,0 days 00:00:12.503273,0.005988250057822247,4,191,84,9.580154309406542,864,0.4336147226242781,0.46233656501875553,COMPLETE
7,0.5834832970710703,2026-05-27 00:51:05.604274,2026-05-27 00:51:22.018550,0 days 00:00:16.414276,0.006555094372947843,6,140,107,0.00012412851132984423,659,0.44548039210768664,0.4377931468931783,COMPLETE
8,0.5723602810401874,2026-05-27 00:51:22.018651,2026-05-27 00:51:41.066886,0 days 00:00:19.048235,0.005500192756455945,7,183,29,2.5522333020957386e-06,823,0.43384363700215806,0.4590236803152906,COMPLETE
9,0.5845375850447603,2026-05-27 00:51:41.066950,2026-05-27 00:51:47.008643,0 days 00:00:05.941693,0.021144348148283282,6,114,90,5.240066948417568e-07,196,0.4472076393447944,0.4357596236615233,COMPLETE
10,0.6078346946900044,2026-05-27 00:51:47.008699,2026-05-27 00:52:12.196384,0 days 00:00:25.187685,0.01212382846829067,9,13,126,1.364552315732065e-08,296,0.46714672844784744,0.38988704087018944,COMPLETE
11,0.5661794716999781,2026-05-27 00:52:12.196766,2026-05-27 00:52:13.161766,0 days 00:00:00.965000,0.07499122240953424,3,152,54,0.07377889058652659,90,0.42956964009518067,0.47064439462708385,COMPLETE
12,0.5730441071474952,2026-05-27 00:52:13.161809,2026-05-27 00:52:14.295197,0 days 00:00:01.133388,0.07039449991502254,3,150,55,0.06997029952982471,126,0.4380784125721001,0.4577302477280645,COMPLETE
13,0.5657371446600399,2026-05-27 00:52:14.295251,2026-05-27 00:52:17.490486,0 days 00:00:03.195235,0.030977490065704404,9,165,62,0.06629762044029947,126,0.4257052982347699,0.4714711884112408,COMPLETE
14,0.5652243956098472,2026-05-27 00:52:17.490530,2026-05-27 00:52:19.951861,0 days 00:00:02.461331,0.03306134565884291,9,164,59,0.06589164250439457,110,0.425123000514837,0.47242880570296575,COMPLETE
