horizon,model,split,mae,rmse,r2
05min,baseline_07,train,0.3033298784453425,0.44983176793661306,0.8422586145289691
05min,baseline_07,valid,0.4411875961462972,0.5755924527958809,0.4528965415522137
05min,baseline_07,test,0.3133105097077147,0.42557245175502423,0.7467223489401877
10min,baseline_07,train,0.3093036635761079,0.45074410729652153,0.8423156587772292
10min,baseline_07,valid,0.5117782028091004,0.6425433935559856,0.3496394031758061
10min,baseline_07,test,0.37207498430949687,0.4888303735638705,0.6653974710380449
05min,tuned,train,0.27704364092314404,0.42538629369833203,0.8589372356712395
05min,tuned,valid,0.4179464276706691,0.5587786630898497,0.48439287861623326
05min,tuned,test,0.30651644983913795,0.4243913936335099,0.7481262017583494
10min,tuned,train,0.3298307840420694,0.49169296292121295,0.8123638825605558
10min,tuned,valid,0.4825794202637216,0.6199618064126172,0.3945487702223597
10min,tuned,test,0.33452611457532816,0.45535453833697576,0.7096564438804405
