canonical_label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
Cableduct,LGBM baseline,5.0,6411,0.07167871363371853,0.1545674929946692,0.35029080621724923,0.4626012556243933,-0.8304210302245814,0.6395143782245931,,
Cableduct,LGBM baseline,10.0,6394,0.09689271670065926,0.15375625960267136,0.3833212762708259,0.5021231998454722,-0.8337576847191348,0.7762872366574034,,
Cableduct,LGBM tuned,5.0,6411,0.022852391099012097,0.0975024145037366,0.3252773121736961,0.44647340302320876,-0.8378512428669005,0.5847525165977565,,
Cableduct,LGBM tuned,10.0,6394,0.013212660478559214,0.09330064315423485,0.34417815381574346,0.46586563406036713,-0.8899524516463335,0.6215805710210154,,
Cableduct,XGBoost baseline,5.0,6411,0.04325499302560446,0.1181621645507817,0.33527603848681536,0.45285873016757666,-0.8463863392944333,0.6064243593749996,1.4275194531274373,0.8919045390734675
Cableduct,XGBoost baseline,10.0,6394,0.034048518812879396,0.11805635015869059,0.3570625888563436,0.4736245574032331,-0.8654427399108883,0.6525965652893077,1.5416341158898965,0.8916171410697529
Cableduct,XGBoost tuned,5.0,6411,0.004902129358607697,0.0773274851074212,0.31704378795795823,0.44314470328579053,-0.8524170344238282,0.5798291502685551,1.5990060341600374,0.9321478708469817
Cableduct,XGBoost tuned,10.0,6394,0.013347703751082872,0.09564131817626981,0.33931381354433693,0.4602723304539924,-0.8666675880615239,0.6150801511047356,1.6993526487331876,0.9263371911166719
Chair,LGBM baseline,5.0,132,0.13117720777680236,0.22031355234735273,0.32993276733254273,0.432553754522163,-0.5243163663903067,0.5461492604024961,,
Chair,LGBM baseline,10.0,133,0.1917556344730796,0.2684636824015989,0.37737049833923564,0.4430060616803056,-0.5524293037186823,0.6915941948224611,,
Chair,LGBM tuned,5.0,132,0.08780340867607027,0.18769174076344086,0.3234125767624192,0.43571992817982663,-0.6168460233597718,0.5827696182137354,,
Chair,LGBM tuned,10.0,133,0.13150660653039695,0.2310648846609631,0.3354209965528537,0.410526997255856,-0.5799544962387955,0.5662274745864571,,
Chair,XGBoost baseline,5.0,132,0.22255942959964656,0.3015948425292976,0.3917073696538754,0.494659531215075,-0.4926910785644517,0.7439752435913087,1.82998175,0.7803030303030303
Chair,XGBoost baseline,10.0,133,0.3091333528676428,0.430108845092775,0.44906533759325085,0.5150127944314251,-0.4595274087890622,0.8401637479492193,2.097987639097744,0.7669172932330827
Chair,XGBoost tuned,5.0,132,0.09737126676709744,0.18432700915527356,0.32207984416152513,0.42949084482794925,-0.5663969489379882,0.5474043264892586,1.8908960833333337,0.9318181818181818
Chair,XGBoost tuned,10.0,133,0.17858116138429578,0.2796571947021498,0.36214427878105937,0.4363415268079644,-0.564764525097656,0.6123865297363273,2.0919953984962407,0.8195488721804511
Machine,LGBM baseline,5.0,4487,0.10313300537597254,0.1518164726000606,0.29018809232240467,0.3874934009086147,-0.6036544945661937,0.5771675235703407,,
Machine,LGBM baseline,10.0,4458,0.09919004518146439,0.14978381719871864,0.32169638684839036,0.42922145664877476,-0.6843929574319806,0.6557709142303884,,
Machine,LGBM tuned,5.0,4487,0.0532850052389948,0.0976223156015976,0.26658804677504266,0.37198570162910055,-0.6337884122626658,0.5261018937338326,,
Machine,LGBM tuned,10.0,4458,0.06853236589233654,0.12615159536258064,0.29502302363689376,0.40175555926551876,-0.6913432694062625,0.5656970136528565,,
Machine,XGBoost baseline,5.0,4487,0.08597883394585223,0.138639614990236,0.2852833708268657,0.38410722118403773,-0.6319751082519535,0.5473335556030265,1.293080402718966,0.8905727657677736
Machine,XGBoost baseline,10.0,4458,0.11996227379245676,0.1864479141845709,0.33206712256782156,0.432792177718202,-0.6732740449707015,0.6241304048095713,1.322302350157021,0.8429789143113504
Machine,XGBoost tuned,5.0,4487,0.036278512465237,0.0841900836181643,0.2568110990938068,0.3653840454223972,-0.6552576139282223,0.5073475816894536,1.3832650826833073,0.9284599955426789
Machine,XGBoost tuned,10.0,4458,0.06344693909280122,0.1211364833984376,0.2968515350025531,0.4054609455094487,-0.7023506541564939,0.557665196441651,1.5362404129654554,0.9217137729923732
Screen,LGBM baseline,5.0,3676,0.11241719658640682,0.1784989504795806,0.342387275983554,0.45825971225868145,-0.7782462760825659,0.6827677937807666,,
Screen,LGBM baseline,10.0,3642,0.1536306845302508,0.1619852177645153,0.4000511221359625,0.5540365001152144,-0.7594766339800838,1.0135775843369783,,
Screen,LGBM tuned,5.0,3676,0.07762494347840682,0.13757894483833155,0.32215854956793577,0.4473387168027007,-0.7823340894070983,0.6596015766472219,,
Screen,LGBM tuned,10.0,3642,0.09526926208112182,0.15596453092183354,0.3613060029744728,0.49798190408633086,-0.8660673380548312,0.7507176322821599,,
Screen,XGBoost baseline,5.0,3676,0.10292647615301989,0.17737404595947298,0.3370644256398198,0.45431641154349395,-0.775893497070312,0.6644041202697757,1.5638564706202394,0.8939064200217628
Screen,XGBoost baseline,10.0,3642,0.14297964757372353,0.22627566717529385,0.39098685208594103,0.5122731391505791,-0.8293653503967278,0.7916046692932128,1.707033989840747,0.8695771554091158
Screen,XGBoost tuned,5.0,3676,0.05071698160065664,0.111240062927246,0.31132008885343965,0.44528169842282234,-0.8186160589599618,0.6397636872558587,1.6578406732861808,0.9314472252448314
Screen,XGBoost tuned,10.0,3642,0.07680585372443834,0.13671439581298725,0.3527463555813684,0.4902214097232363,-0.864025395391845,0.7350523894042967,1.9226918374519493,0.9264140582097748
Window,LGBM baseline,5.0,644,0.038011765132312025,0.07518180741724476,0.3099963263103363,0.40319051255827104,-0.6552128406886004,0.5906908556716636,,
Window,LGBM baseline,10.0,648,-0.04649618099864809,-0.01086017760792395,0.3745529143074857,0.4797848082434559,-0.9090788492731583,0.6808561218074721,,
Window,LGBM tuned,5.0,644,-0.01399131109075464,0.0253140525333677,0.30520000382176077,0.4040677411711652,-0.7111375458907538,0.5520413623289682,,
Window,LGBM tuned,10.0,648,-0.04612740535187757,0.01138618288627485,0.36035677452537307,0.4554329050127301,-0.868082424819797,0.5976401751758967,,
Window,XGBoost baseline,5.0,644,0.040076946715929505,0.0794191768798828,0.32050343189007297,0.418502271569515,-0.6646056071594247,0.6440091489990247,1.371309905279503,0.8835403726708074
Window,XGBoost baseline,10.0,648,0.03284029061889646,0.0730898015136709,0.38116609390409484,0.4704395531134248,-0.8057036613830574,0.7176257740356439,1.5229155308641977,0.8765432098765432
Window,XGBoost tuned,5.0,644,-0.02232072284523151,0.01320834564209145,0.29282943349120333,0.3895613909004368,-0.6851426599670394,0.5114016453491206,1.5936047841614907,0.9347826086956522
Window,XGBoost tuned,10.0,648,-0.06565498085191518,-0.00896954895019415,0.3505570112967785,0.446080310489093,-0.8556079776733393,0.5492848146850585,1.7042054645061728,0.9274691358024691
