object_id,label,anchor_x,anchor_y,observations,first_seen,last_seen,dbscan_eps,dbscan_min_samples
light_1,Light,2.565493,0.939902,26126,2025-04-23 14:29:00,2025-05-15 12:19:00,0.200000,200
light_2,Light,6.453370,1.775548,13585,2025-04-23 14:29:00,2025-05-15 12:19:00,0.200000,200
light_3,Light,8.058769,3.694192,3693,2025-04-23 14:29:00,2025-05-15 08:53:00,0.200000,200
light_4,Light,10.635485,3.755376,3769,2025-04-23 14:29:00,2025-05-15 08:53:00,0.200000,200
machine_1,Machine,9.789152,0.241733,322,2025-04-23 17:21:00,2025-05-15 10:48:00,0.150000,110
machine_2,Machine,6.712124,0.311429,12470,2025-04-23 14:29:00,2025-05-15 12:18:00,0.150000,110
machine_3,Machine,1.256375,0.800275,6435,2025-04-23 17:22:00,2025-05-15 10:53:00,0.150000,110
machine_4,Machine,4.016633,2.938567,5222,2025-04-23 14:29:00,2025-05-15 12:19:00,0.150000,110
machine_5,Machine,5.981587,2.946810,163,2025-04-24 09:16:00,2025-05-15 10:48:00,0.150000,110
machine_6,Machine,7.788640,3.706367,79354,2025-04-23 14:29:00,2025-05-15 12:19:00,0.150000,110
screen_1,Screen,2.842495,0.205026,809,2025-04-29 07:59:00,2025-05-14 09:32:00,0.600000,100
screen_2,Screen,10.598050,2.839168,413,2025-04-23 17:35:00,2025-05-15 11:26:00,0.600000,100
window_1,Window,0.656777,0.181031,11993,2025-04-23 14:29:00,2025-05-15 12:19:00,0.300000,50
