feature,importance
source_temp,613
hour,473
minute,345
temp_lag_1,274
temp_roll_mean_5,238
temp_roll_std_20,210
temp_roll_std_30,193
temp_roll_std_10,189
temp_roll_mean_10,166
temp_roll_std_5,154
nearest_person_dy,137
object_id,128
day_of_week,114
temp_lag_2,109
temp_roll_mean_30,95
temp_lag_30,88
people_count_total,88
temp_lag_29,87
nearest_person_dx,86
temp_delta_1,80
temp_lag_11,80
temp_lag_9,76
temp_roll_mean_20,70
temp_lag_10,70
nearest_person_distance,67
temp_lag_8,67
temp_lag_3,66
temp_lag_4,65
temp_lag_12,65
temp_lag_7,57
temp_lag_27,52
mean_person_distance,51
temp_lag_5,50
temp_lag_16,48
temp_lag_19,48
temp_lag_17,42
temp_lag_6,42
temp_lag_23,41
temp_lag_15,40
temp_lag_14,38
temp_lag_28,37
temp_lag_22,37
temp_lag_24,37
display_y,37
temp_lag_26,36
temp_lag_13,34
temp_lag_18,29
temp_lag_21,28
display_x,27
target_minutes_ahead,27
people_count_within_2m,26
temp_lag_25,24
temp_lag_20,23
seconds_since_previous,9
anchor_y,7
anchor_x,5
people_count_within_1m,3
label,1
people_count_within_3m,1
observations_in_frame,0
