iteration,split,rmse
1,train,2.072603954309166
2,train,2.0188358607378496
3,train,1.9666430532508585
4,train,1.9161889463453505
5,train,1.867474488323231
6,train,1.8204302216245336
7,train,1.7749693238396198
8,train,1.731129086077512
9,train,1.6888896399239257
10,train,1.6480034071991985
11,train,1.6085070973920454
12,train,1.5705189442809238
13,train,1.5337692361345743
14,train,1.4982206998751264
15,train,1.4640126828257845
16,train,1.4310510981279572
17,train,1.3992371831729682
18,train,1.368563824161526
19,train,1.3390973354983189
20,train,1.3107193653259919
21,train,1.2832913464043594
22,train,1.2569946033469832
23,train,1.2316035067675977
24,train,1.2072866244698093
25,train,1.1837014962992363
26,train,1.1611832025962305
27,train,1.1395561377887056
28,train,1.1186721821759396
29,train,1.0985722114316079
30,train,1.0793020742062733
31,train,1.0608574904879426
32,train,1.0431224597603597
33,train,1.026099230239662
34,train,1.0097564646767596
35,train,0.99410288192496
36,train,0.979051730943445
37,train,0.9645317229462396
38,train,0.9507297830881445
39,train,0.9375096031521417
40,train,0.9247910574958815
41,train,0.912455350706047
42,train,0.9007371704452343
43,train,0.8895594920671963
44,train,0.8788600570985956
45,train,0.8683047380211507
46,train,0.8584445530469763
47,train,0.8491301427075486
48,train,0.8401821091690048
49,train,0.8314960139352967
50,train,0.8231556521816772
51,train,0.8150409278546197
52,train,0.8073289080590849
53,train,0.7999983870201829
54,train,0.7929697742530368
55,train,0.7862453156340277
56,train,0.779929312880413
57,train,0.7737687684087248
58,train,0.7678851958510149
59,train,0.7624855054661526
60,train,0.757115591188482
61,train,0.7520333324890838
62,train,0.746916213110841
63,train,0.7421719455798406
64,train,0.7376426789631768
65,train,0.733141051567014
66,train,0.7290976029565446
67,train,0.7250014992061159
68,train,0.7212528172236694
69,train,0.7173562395680443
70,train,0.713991381720268
71,train,0.7104543729390953
72,train,0.7069946974192174
73,train,0.7036186883276583
74,train,0.7003821810815664
75,train,0.697262666030949
76,train,0.6943565543299859
77,train,0.6915550338536086
78,train,0.6889285167694188
79,train,0.6862431509108889
80,train,0.6837708934713983
81,train,0.6812805317471469
82,train,0.6789433375890371
83,train,0.6763160289062619
84,train,0.6738589388387726
85,train,0.6718767280581731
86,train,0.6700155685642873
87,train,0.667985539084855
88,train,0.6659809664680739
89,train,0.6639329356552446
90,train,0.6620305470507222
91,train,0.660308659082536
92,train,0.65840859886846
93,train,0.6565500809293487
94,train,0.6546054534608444
95,train,0.653223603967569
96,train,0.6514704193487785
97,train,0.6498306247901767
98,train,0.6482678275663594
99,train,0.6467324487465157
100,train,0.6451724352249918
101,train,0.6437141620874303
102,train,0.6421294974352311
103,train,0.6408317774023073
104,train,0.6396000235358783
105,train,0.638301634159465
106,train,0.6369291555890009
107,train,0.6356216521218626
108,train,0.6343888269383849
109,train,0.6332340060629963
110,train,0.6320339716349942
111,train,0.6308071662222299
112,train,0.6295702536839017
113,train,0.6285585880452365
114,train,0.6275664600291122
