split,people_group,rows,mae,rmse,r2
train,all_rows,23109,0.5212155737585106,0.7445294258056627,0.8748559454129832
train,no_person_detected,10476,0.44263486058741935,0.6176966000136799,0.8726329332868269
train,person_detected,12633,0.586379157323804,0.8352238466449303,0.8577159596522889
train,person_within_1m,867,0.5437934888102235,0.7638665241339071,0.7872260745885769
train,person_within_2m,3234,0.6305798977960476,0.9231554554158264,0.7496399730397825
train,person_within_3m,5689,0.6199130116989315,0.9025337414040275,0.7504848792541022
valid,all_rows,14662,0.6438800762088968,0.8892678518715148,0.7298911312456833
valid,no_person_detected,6128,0.5484548134152787,0.7492470789858786,0.718593938045699
valid,person_detected,8534,0.7124019897780662,0.9775178152952729,0.6991134729096543
valid,person_within_1m,447,0.6586824869473141,0.9093294609670992,0.5889995301448622
valid,person_within_2m,2287,0.7655078125880317,1.0746883310804047,0.5294075386410315
valid,person_within_3m,4165,0.7284779332982213,1.0087929634503312,0.5509820555012505
test,all_rows,16149,0.5851245411461652,0.8219679265680466,0.8281824778845182
test,no_person_detected,6183,0.5484055236521667,0.7417977951585002,0.8537261272830983
test,person_detected,9966,0.6079053644619782,0.8679921225333923,0.8068538095473177
test,person_within_1m,537,0.5711311026302245,0.7767476209034503,0.555858092817464
test,person_within_2m,2358,0.6367497347807582,0.887474161103386,0.6983436645661505
test,person_within_3m,4191,0.6133202724293669,0.8592825659060772,0.6828622003334157
