feature,importance
source_temp,1065
hour,707
temp_lag_1,428
temp_roll_mean_5,389
temp_roll_std_30,340
minute,340
temp_roll_std_20,278
temp_roll_mean_10,273
temp_roll_std_5,236
temp_roll_std_10,220
nearest_person_dy,182
object_id,179
temp_delta_1,136
temp_lag_2,131
day_of_week,130
temp_roll_mean_30,126
nearest_person_distance,106
temp_lag_30,96
temp_lag_3,94
nearest_person_dx,80
temp_roll_mean_20,79
people_count_total,78
target_minutes_ahead,75
temp_lag_11,72
temp_lag_29,66
temp_lag_9,61
temp_lag_7,58
temp_lag_27,55
mean_person_distance,53
temp_lag_10,49
temp_lag_22,49
temp_lag_12,47
temp_lag_23,44
temp_lag_16,42
temp_lag_28,42
temp_lag_4,36
temp_lag_6,31
people_count_within_2m,30
temp_lag_15,26
display_y,26
temp_lag_26,25
temp_lag_5,24
temp_lag_17,23
temp_lag_14,22
temp_lag_19,21
temp_lag_24,16
temp_lag_8,16
temp_lag_25,11
temp_lag_21,8
temp_lag_13,8
display_x,5
temp_lag_20,4
label,3
people_count_within_1m,3
anchor_y,3
temp_lag_18,2
people_count_within_3m,2
anchor_x,2
seconds_since_previous,1
observations_in_frame,0
