split,people_group,rows,mae,rmse,r2
train,all_rows,18964,0.35161697179143203,0.5460031322758069,0.9250100222998909
train,no_person_detected,9224,0.27656008509204727,0.439455202034566,0.9352750202888522
train,person_detected,9740,0.42269753882583916,0.6305199560795645,0.9032339552481075
train,person_within_1m,800,0.45642103088696856,0.65296354347629,0.8620236557309497
train,person_within_2m,2693,0.4544394057309517,0.6561909327594853,0.8496295497558976
train,person_within_3m,4610,0.4492759467515841,0.6735836805977039,0.8719601116689129
valid,all_rows,19146,0.4380599607727963,0.6489809323953212,0.8942396389724576
valid,no_person_detected,7384,0.3304302634970515,0.4900360844999593,0.9161307912753318
valid,person_detected,11762,0.5056282046670404,0.7313213337403464,0.8668504737769576
valid,person_within_1m,756,0.46134401611925246,0.6373383196147537,0.8034634432411625
valid,person_within_2m,3250,0.48865242270627196,0.6941023053246026,0.7852821666802788
valid,person_within_3m,5704,0.49585223360976965,0.7121182021843182,0.8053567953763273
test,all_rows,18852,0.3840191996495184,0.5900492216831338,0.9192728454644167
test,no_person_detected,7825,0.32799968774354427,0.4923787919374759,0.9329072389910279
test,person_detected,11027,0.423771868613357,0.6505229917272387,0.9079460853701202
test,person_within_1m,729,0.46211395079481477,0.657932926533021,0.7817853137132709
test,person_within_2m,2891,0.4223084120853981,0.6159240367326322,0.8491284668783572
test,person_within_3m,4937,0.4312436719656049,0.6690091966884396,0.843406570432774
