number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_lambda,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
0,0.7439212822179506,2026-06-01 00:41:24.524968,2026-06-01 00:41:30.924912,0 days 00:00:06.399944,0.038052091892039265,12,124,58,2.8257520714515276e-07,89,0.5268873105106514,0.8166887617794777,COMPLETE
1,0.7386308598010358,2026-06-01 00:41:30.924990,2026-06-01 00:41:32.288181,0 days 00:00:01.363191,0.05520138953395545,3,124,33,0.03853046809773397,80,0.5187272693623873,0.819286739671388,COMPLETE
2,0.7427621412206318,2026-06-01 00:41:32.288253,2026-06-01 00:41:35.917514,0 days 00:00:03.629261,0.05027253932873333,12,50,18,4.910881717782746e-07,92,0.5190244918878127,0.817259569567667,COMPLETE
3,0.7392789784058242,2026-06-01 00:41:35.917636,2026-06-01 00:41:47.720839,0 days 00:00:11.803203,0.02142099844547284,6,92,36,5.113649633234538e-06,188,0.5179535144581022,0.8189694634292419,COMPLETE
4,0.737945885720735,2026-06-01 00:41:47.721243,2026-06-01 00:41:59.721823,0 days 00:00:12.000580,0.011239505740409895,4,79,85,0.00017455030150754618,397,0.5164632420643632,0.8196217554692043,COMPLETE
5,0.7370357321076118,2026-06-01 00:41:59.722383,2026-06-01 00:42:06.354303,0 days 00:00:06.631920,0.02080510765641852,4,123,104,2.7041867594649292e-08,216,0.5156319779227913,0.8200664240351632,COMPLETE
6,0.7392355304948065,2026-06-01 00:42:06.354561,2026-06-01 00:42:30.498007,0 days 00:00:24.143446,0.005988250057822247,4,191,84,9.580154309406542,790,0.5172747231912361,0.8189907413709847,COMPLETE
7,0.738389676131565,2026-06-01 00:42:30.501756,2026-06-01 00:42:57.804393,0 days 00:00:27.302637,0.006555094372947843,6,140,107,0.00012412851132984423,542,0.5191188958041485,0.8194047362884905,COMPLETE
8,0.7407612055178017,2026-06-01 00:42:57.804491,2026-06-01 00:43:35.584009,0 days 00:00:37.779518,0.005500192756455945,7,183,29,2.5522333020957386e-06,728,0.5210093335260814,0.8182428165976843,COMPLETE
9,0.7391352160605515,2026-06-01 00:43:35.584450,2026-06-01 00:43:46.077094,0 days 00:00:10.492644,0.021144348148283282,6,114,90,5.240066948417568e-07,179,0.5187129077939994,0.8190398640351794,COMPLETE
10,0.7536167695495253,2026-06-01 00:43:46.077153,2026-06-01 00:44:04.459971,0 days 00:00:18.382818,0.01212382846829067,9,13,126,1.364552315732065e-08,285,0.5336299423765137,0.8118794533047189,COMPLETE
11,0.7381171074417422,2026-06-01 00:44:04.460022,2026-06-01 00:44:08.182873,0 days 00:00:03.722851,0.012323738644533861,4,73,106,0.005997414363266526,341,0.5170185073029635,0.8195380413187143,COMPLETE
12,0.73754956237039,2026-06-01 00:44:08.182999,2026-06-01 00:44:12.160469,0 days 00:00:03.977470,0.012175157254591416,3,155,71,0.00020702764801841324,680,0.5147234095982338,0.8198154523642727,COMPLETE
13,0.7365354875501775,2026-06-01 00:44:12.160533,2026-06-01 00:44:13.999251,0 days 00:00:01.838718,0.030229124973408097,3,159,62,0.431580543247254,244,0.5135682971258314,0.8203105919686027,COMPLETE
14,0.7442165629615441,2026-06-01 00:44:13.999308,2026-06-01 00:44:18.245139,0 days 00:00:04.245831,0.03361561091173936,9,160,54,13.794015306778808,101,0.5271953798443072,0.8165432113766307,COMPLETE
15,0.7384498514960737,2026-06-01 00:44:18.245186,2026-06-01 00:44:19.575975,0 days 00:00:01.330789,0.07912129981041172,5,171,125,0.20449362800353504,49,0.516697528157134,0.8193752997213373,COMPLETE
16,0.7433029297966577,2026-06-01 00:44:19.576022,2026-06-01 00:44:24.574694,0 days 00:00:04.998672,0.02921650711329635,8,142,57,0.7077571113957127,117,0.5253660401879453,0.8169933742208026,COMPLETE
17,0.7379187910338308,2026-06-01 00:44:24.574747,2026-06-01 00:44:27.264246,0 days 00:00:02.689499,0.016966184272508185,3,198,103,0.00816075905301964,437,0.5154521564677467,0.8196350008912134,COMPLETE
18,0.7400262019284154,2026-06-01 00:44:27.264295,2026-06-01 00:44:30.197054,0 days 00:00:02.932759,0.026645770995050985,5,99,70,2.7537124205147664e-08,171,0.517915718224709,0.8186033265819784,COMPLETE
19,0.7416739256229706,2026-06-01 00:44:30.197153,2026-06-01 00:44:36.387103,0 days 00:00:06.189950,0.01708496446847829,10,143,47,1.8600023221599134e-05,209,0.5240919464328815,0.8177946407587633,COMPLETE
20,0.7407335904501632,2026-06-01 00:44:36.387151,2026-06-01 00:44:38.316601,0 days 00:00:01.929450,0.04398884360427934,5,55,96,0.0016623169474860187,88,0.5194677878780535,0.8182563679103589,COMPLETE
21,0.7372604158157967,2026-06-01 00:44:38.316654,2026-06-01 00:44:42.658464,0 days 00:00:04.341810,0.008405593909863528,3,158,72,0.989986505933448,794,0.5150127269000363,0.8199567026104664,COMPLETE
22,0.7373808347672323,2026-06-01 00:44:42.658527,2026-06-01 00:44:48.720868,0 days 00:00:06.062341,0.008326214663355022,3,170,75,1.2523829710494396,1032,0.5146581292737917,0.8198978837855296,COMPLETE
23,0.7382095740204985,2026-06-01 00:44:48.720918,2026-06-01 00:44:54.477586,0 days 00:00:05.756668,0.008732765829850773,4,125,66,0.06129645323120252,581,0.5160075521729723,0.8194928242523489,COMPLETE
24,0.7385528219162876,2026-06-01 00:44:54.477640,2026-06-01 00:44:57.097864,0 days 00:00:02.620224,0.02510509622985831,3,178,80,2.3491906892606242,296,0.5154812055282267,0.8193249231169257,COMPLETE
25,0.7382181932475935,2026-06-01 00:44:57.097921,2026-06-01 00:45:01.889190,0 days 00:00:04.791269,0.015150182039911803,5,156,114,0.17766645708745796,258,0.5169233355659171,0.8194886090769363,COMPLETE
26,0.7384371264664745,2026-06-01 00:45:01.889307,2026-06-01 00:45:07.189523,0 days 00:00:05.300216,0.008576103393861043,4,136,44,0.019432074284020523,473,0.5184153577243995,0.8193815247475842,COMPLETE
27,0.7426993395524076,2026-06-01 00:45:07.189591,2026-06-01 00:45:10.872617,0 days 00:00:03.683026,0.034272477206125765,7,108,62,0.001307426975478438,100,0.5227404538003229,0.8172904702236713,COMPLETE
28,0.7365450651224785,2026-06-01 00:45:10.872666,2026-06-01 00:45:13.338894,0 days 00:00:02.466228,0.02314196929127351,3,160,97,3.497341468198469,323,0.5138982448167874,0.8203059187396389,COMPLETE
29,0.7439426644451275,2026-06-01 00:45:13.338948,2026-06-01 00:45:22.432104,0 days 00:00:09.093156,0.023640582688737387,12,127,118,8.135397334463432e-08,156,0.5255864289376575,0.8166782239471474,COMPLETE
30,0.738317230814315,2026-06-01 00:45:22.432159,2026-06-01 00:45:24.207662,0 days 00:00:01.775503,0.04100911904969986,4,111,94,6.8002845060493815,107,0.5171250298842635,0.8194401718851114,COMPLETE
31,0.736200070322273,2026-06-01 00:45:24.207725,2026-06-01 00:45:27.254435,0 days 00:00:03.046710,0.018239677036327555,3,162,101,0.44008615829075004,437,0.5140103251461433,0.8204742153119373,COMPLETE
32,0.7368790536927394,2026-06-01 00:45:27.254495,2026-06-01 00:45:30.071820,0 days 00:00:02.817325,0.01807100313292389,3,168,100,0.21683071797304632,391,0.5147932665012683,0.8201429161501372,COMPLETE
33,0.7381729864907467,2026-06-01 00:45:30.071878,2026-06-01 00:45:33.179314,0 days 00:00:03.107436,0.0148508393786194,3,168,97,0.17282783263638335,437,0.5161254934289842,0.8195107165914145,COMPLETE
34,0.7377150929603384,2026-06-01 00:45:33.179378,2026-06-01 00:45:36.098233,0 days 00:00:02.918855,0.017964162779017388,3,185,112,2.6850750931785017,396,0.5157314317600826,0.8197345645081348,COMPLETE
35,0.7390770942241649,2026-06-01 00:45:36.098295,2026-06-01 00:45:38.277697,0 days 00:00:02.179402,0.030798737207682034,5,151,87,0.3523019584847047,124,0.5185754378587606,0.8190683224867749,COMPLETE
36,0.7377270122601008,2026-06-01 00:45:38.277747,2026-06-01 00:45:39.222755,0 days 00:00:00.945008,0.05789699844309849,3,199,79,0.057142354747732015,91,0.5163282070838191,0.8197287393457089,COMPLETE
37,0.7390782841462654,2026-06-01 00:45:39.222826,2026-06-01 00:45:41.534807,0 days 00:00:02.311981,0.019221047215179508,4,175,99,4.023731808601118,230,0.5176053382300274,0.8190677398823978,COMPLETE
38,0.7435468799231012,2026-06-01 00:45:41.534930,2026-06-01 00:45:48.262946,0 days 00:00:06.728016,0.024394128784972813,11,166,120,0.02075382945792069,141,0.5261014058580615,0.8168732298925276,COMPLETE
39,0.7399405595734643,2026-06-01 00:45:48.262998,2026-06-01 00:45:52.617080,0 days 00:00:04.354082,0.013669008963060784,6,189,16,16.485911947498465,314,0.5194891036129291,0.8186453097963943,COMPLETE
40,0.7379950616392668,2026-06-01 00:45:52.617131,2026-06-01 00:45:55.071648,0 days 00:00:02.454517,0.021866557113340606,4,131,92,0.4643505128365324,191,0.5170642083531929,0.8195977142445507,COMPLETE
41,0.7386047531452248,2026-06-01 00:45:55.071704,2026-06-01 00:45:57.515501,0 days 00:00:02.443797,0.01977757065137864,4,148,103,2.7001993609399047e-05,230,0.5167574517573204,0.8192995139427319,COMPLETE
42,0.7364899399739266,2026-06-01 00:45:57.515554,2026-06-01 00:45:59.307295,0 days 00:00:01.791741,0.02759484111339625,3,117,109,1.7288199990168135e-06,241,0.5140283767366569,0.8203328153755904,COMPLETE
43,0.7373822379515115,2026-06-01 00:45:59.307351,2026-06-01 00:46:01.347020,0 days 00:00:02.039669,0.027023077713332844,3,80,110,1.9140205817755296e-06,296,0.5140175298428686,0.8198971983413557,COMPLETE
44,0.740295272905879,2026-06-01 00:46:01.347078,2026-06-01 00:46:02.847978,0 days 00:00:01.500900,0.03468742436144184,3,20,87,0.08682340366484997,201,0.515735145652638,0.8184713921898883,COMPLETE
45,0.7390281566693158,2026-06-01 00:46:02.848037,2026-06-01 00:46:04.252394,0 days 00:00:01.404357,0.05058646134062754,4,163,116,2.1040616445177,89,0.5177170024840454,0.8190922822626049,COMPLETE
46,0.7379158997241091,2026-06-01 00:46:04.252443,2026-06-01 00:46:06.453720,0 days 00:00:02.201277,0.029928593997089154,3,119,101,0.0020622483972869738,268,0.5149523688732395,0.8196364142989219,COMPLETE
47,0.7385217006255126,2026-06-01 00:46:06.453782,2026-06-01 00:46:09.241562,0 days 00:00:02.787780,0.02289877941489036,5,180,108,0.000467043207648498,181,0.5168657735795815,0.8193401494432448,COMPLETE
48,0.7391246892663417,2026-06-01 00:46:09.241614,2026-06-01 00:46:17.072359,0 days 00:00:07.830745,0.009999046914906927,6,89,123,1.8153601874849838e-07,401,0.5175874005851749,0.8190450184819031,COMPLETE
49,0.7377595367765125,2026-06-01 00:46:17.072419,2026-06-01 00:46:18.794194,0 days 00:00:01.721775,0.03768678618449818,4,148,25,0.018062365761371824,130,0.5150820847957788,0.819712843588265,COMPLETE
