horizon,model,split,mae,rmse,r2
10min,baseline,train,0.39945391970351474,0.6010216387117572,0.9203958379222259
10min,baseline,valid,0.5235724911284546,0.7463240391695336,0.8155027125002713
10min,baseline,test,0.48224367587925676,0.704036603756383,0.8783506087598416
20min,baseline,train,0.5045931506853404,0.7258644453230008,0.881051892665643
20min,baseline,valid,0.6392103420321252,0.8872990320071195,0.7310858376845069
20min,baseline,test,0.577807697673033,0.8123038686299076,0.8321989200609141
10min,tuned,train,0.4455541781961518,0.7033474021980359,0.8909827219869244
10min,tuned,valid,0.5140103251461433,0.736200070322273,0.8204742153119373
10min,tuned,test,0.47921313652378605,0.7007993893736482,0.8794667433008363
20min,tuned,train,0.5450273890129035,0.8179616737450901,0.8489528978338794
20min,tuned,valid,0.6301868710897439,0.8763728996067682,0.7376678383455854
20min,tuned,test,0.5717822319318263,0.8093445381881755,0.8334193359962664
