label,model_version,target_minutes,rows,mean_error,median_error,mae,rmse,p05_error,p95_error,mean_ci_width,ci_coverage
Light,LGBM baseline,10.0,6003,-0.03879284253030684,-0.0115584758730911,0.40420988047782264,0.5229895568042697,-0.9437509696046733,0.7957512063379539,,
Light,LGBM baseline,20.0,5925,-0.047634358529811474,-0.0104109171591488,0.46294878013014723,0.5849005342449319,-1.0570425517554398,0.8716998318565659,,
Light,LGBM tuned,10.0,6003,-0.028733372212377734,-0.0071980939048934,0.39754081682519493,0.5144313913080013,-0.924796651279619,0.7838320705947434,,
Light,LGBM tuned,20.0,5925,-0.036775460593913456,-0.0028081852952652,0.45560826629034185,0.5778281386319124,-1.044120846412669,0.859843633811419,,
Light,XGBoost baseline,10.0,6003,-0.040258383763530005,-0.014261245727539,0.4035350933651257,0.5204482581541956,-0.9300388336181641,0.797712135314941,1.7446032230551392,0.9057138097617857
Light,XGBoost baseline,20.0,5925,-0.057758092124400875,-0.0221290588378906,0.46380841252577054,0.5859415759823342,-1.0582687377929687,0.8612854003906251,1.9422804843881858,0.9051476793248945
Light,XGBoost tuned,10.0,6003,-0.026481490522731785,-0.0043144226074218,0.39746252616404526,0.5149004591423108,-0.9211021423339844,0.7928007125854479,1.779274434449442,0.9113776445110778
Light,XGBoost tuned,20.0,5925,-0.032353517243277785,0.0118427276611328,0.4523844906540257,0.5735001529626522,-1.049946594238281,0.8582744598388674,2.2151660185654007,0.9385654008438818
Machine,LGBM baseline,10.0,6600,0.004967765431022463,0.1076999687583768,0.5127928162378452,0.8111967289838837,-1.2456633265469,0.9006389578883129,,
Machine,LGBM baseline,20.0,6499,0.02087196497165574,0.1599983084401586,0.6087161676486386,0.9048196212691587,-1.4649268274755058,1.0882434354680706,,
Machine,LGBM tuned,10.0,6600,-0.013451165617106166,0.08562856104718185,0.5067155463665333,0.8101155000440862,-1.2344685430837825,0.8952342746124089,,
Machine,LGBM tuned,20.0,6499,-0.0024909652382420037,0.1419647239524053,0.5962268939494968,0.9013455509218412,-1.4993191694705967,1.0397240674376684,,
Machine,XGBoost baseline,10.0,6600,-0.0009886204057950412,0.10916996002197266,0.5104468328387836,0.8100776544107717,-1.2451134681701659,0.8937622068593745,2.429633891666666,0.9046969696969697
Machine,XGBoost baseline,20.0,6499,0.03399209407476296,0.1727027893066406,0.6104071423857937,0.9014169687983574,-1.4691547393798827,1.1241598129272417,2.7989085465456225,0.8919833820587783
Machine,XGBoost tuned,10.0,6600,-0.017357951939053654,0.08640098571777516,0.5090161598156738,0.8159275314564134,-1.265224075317383,0.9051012039184569,2.533469102575758,0.9215151515151515
Machine,XGBoost tuned,20.0,6499,0.01330528135184706,0.162628173828125,0.5965463844057635,0.8960724711226443,-1.4788295745849607,1.045231246885741,3.124951045853208,0.9304508385905524
Screen,LGBM baseline,10.0,1942,-0.031441753499730475,0.10498515421027396,0.5992999590483553,0.8065290072440807,-1.5770176636193503,1.088908508963511,,
Screen,LGBM baseline,20.0,1878,-0.05147607570347866,0.09426120214552995,0.7793439630222891,1.0296318990710058,-2.0597945967657294,1.3803376285996967,,
Screen,LGBM tuned,10.0,1942,0.006323660193903615,0.1261294222051514,0.594620907509748,0.8030602730647415,-1.565395653989559,1.1110749102116029,,
Screen,LGBM tuned,20.0,1878,-0.06561889817547042,0.08214695204720884,0.7573618811298367,1.006857813158687,-2.0393206260623935,1.3374276306024813,,
Screen,XGBoost baseline,10.0,1942,-0.018001768527356833,0.11321926116943354,0.5967820773461787,0.8047859551291889,-1.6074031829833983,1.0964477539062496,2.6060964526261587,0.8764160659114315
Screen,XGBoost baseline,20.0,1878,-0.055845557172890595,0.0849771499633789,0.7741938805266808,1.019341535875863,-2.02577600479126,1.3428501129150383,3.1494741884984023,0.836528221512247
Screen,XGBoost tuned,10.0,1942,0.007454682590083096,0.1253786087036115,0.5953872554840319,0.804411821966029,-1.5708412170410158,1.087206554412845,2.705559553038105,0.8872296601441813
Screen,XGBoost tuned,20.0,1878,-0.06914386402905615,0.1080503463745099,0.7599091798828828,1.0102648509606094,-2.0552412033081056,1.3082459449768074,3.6417628242811504,0.9009584664536742
Window,LGBM baseline,10.0,1887,-0.15773813639183562,-0.1026569801328847,0.5194701459536358,0.6917047573165582,-1.3031554669965433,0.8307314192867649,,
Window,LGBM baseline,20.0,1847,-0.3376921936492172,-0.2470287763941279,0.6965621854867017,0.9225877272426193,-1.863405787684913,0.8662755504312983,,
Window,LGBM tuned,10.0,1887,-0.10919127396265804,-0.0412035118713198,0.5240680061230301,0.6896718395110014,-1.2576883213921857,0.8994414843002301,,
Window,LGBM tuned,20.0,1847,-0.26421044744371625,-0.1572413873643725,0.6697499129167157,0.8756338100595451,-1.6944108788052066,0.9241576483263803,,
Window,XGBoost baseline,10.0,1887,-0.179842975697911,-0.1438674926757812,0.5256816387212129,0.6869909704387626,-1.2928188323974608,0.825206182538084,2.0750882633810277,0.8203497615262321
Window,XGBoost baseline,20.0,1847,-0.35441570973509623,-0.2639789581298792,0.6961268831456787,0.9218229952236957,-1.8866081237792969,0.8532028198242184,2.6516709756361663,0.8321602598808879
Window,XGBoost tuned,10.0,1887,-0.08834046109475659,-0.0242328643798828,0.506774052302796,0.6691840202299224,-1.2216524124145507,0.9035558700561523,2.206498174350821,0.8717541070482246
Window,XGBoost tuned,20.0,1847,-0.29667046344684006,-0.2116489372900396,0.6699312671847427,0.8797610502473757,-1.740580940246582,0.8746025085449216,3.3641684477531135,0.9036275040606389
