feature,importance
temp_roll_mean_5,0.41576293
temp_roll_mean_10,0.31097168
source_temp,0.11846829
temp_lag_1,0.037774585
temp_lag_2,0.013929164
temp_lag_4,0.006366828
temp_lag_3,0.006266835
temp_roll_mean_20,0.0044902666
temp_roll_mean_30,0.0032930183
temp_lag_12,0.0024774163
label,0.0024683655
temp_lag_29,0.0023860335
temp_lag_11,0.0022836966
temp_lag_9,0.0022718513
object_id,0.0021387876
temp_lag_10,0.0020996637
hour,0.0020868015
temp_lag_30,0.0020735126
temp_lag_8,0.0019085092
temp_lag_19,0.0019054677
temp_roll_std_30,0.0018906802
temp_lag_14,0.001883659
display_y,0.0018602366
temp_lag_6,0.0018593856
temp_lag_27,0.0018171159
temp_lag_7,0.001797981
target_minutes_ahead,0.0017968774
day_of_week,0.0017820916
temp_lag_26,0.0017774956
people_count_within_2m,0.0017752248
minute,0.00177414
temp_lag_23,0.0017585143
temp_lag_17,0.0017035092
temp_roll_std_20,0.0016814998
temp_lag_5,0.0016463107
people_count_total,0.0016370709
nearest_person_dy,0.0016151187
temp_roll_std_10,0.0016029557
temp_lag_24,0.0016020712
temp_roll_std_5,0.0015805059
temp_lag_13,0.0015581517
nearest_person_dx,0.0015465156
temp_lag_16,0.001541916
temp_lag_22,0.0015249269
temp_lag_15,0.0014814057
temp_lag_28,0.0014794857
temp_delta_1,0.001411947
temp_lag_18,0.0013974131
nearest_person_distance,0.0013446187
temp_lag_20,0.0013038856
temp_lag_25,0.0012618734
temp_lag_21,0.0012582114
seconds_since_previous,0.0011158846
people_count_within_3m,0.0011147305
mean_person_distance,0.0010904457
anchor_y,0.0010075885
display_x,0.0009979776
people_count_within_1m,0.0008394705
anchor_x,0.00045744522
observations_in_frame,0.0
requested_horizon_min,0.0
