feature,importance
temp_roll_mean_5,0.29320583
temp_roll_mean_10,0.27131996
source_temp,0.10436081
temp_lag_1,0.04040563
temp_roll_mean_20,0.03333381
temp_lag_2,0.022654613
temp_roll_mean_30,0.013877651
temp_lag_13,0.009509329
temp_lag_3,0.007480071
hour,0.006598175
anchor_y,0.006590306
temp_lag_27,0.006582616
label,0.0064273197
temp_lag_28,0.006331525
temp_lag_29,0.006211183
display_y,0.005860482
object_id,0.0058416678
temp_lag_30,0.005695015
display_x,0.005586733
temp_lag_16,0.0055111493
temp_lag_19,0.0055074915
temp_lag_26,0.005377342
temp_lag_15,0.0049462263
temp_lag_12,0.004701966
temp_lag_17,0.00468726
temp_lag_10,0.00461873
temp_roll_std_30,0.0045857895
temp_lag_11,0.004524501
temp_lag_18,0.0043953727
temp_roll_std_20,0.004319468
nearest_person_dx,0.003997759
temp_lag_20,0.0039406214
day_of_week,0.0039089895
temp_lag_22,0.003892362
temp_lag_21,0.0038596122
temp_lag_14,0.0038332855
temp_lag_9,0.0037592724
temp_roll_std_10,0.0037073195
people_count_total,0.00369064
nearest_person_dy,0.0036890607
temp_lag_6,0.0036293438
temp_lag_25,0.0036141656
temp_lag_23,0.0035127208
temp_lag_24,0.003427271
target_minutes_ahead,0.0033810644
temp_roll_std_5,0.0032668724
temp_lag_7,0.0031882627
temp_lag_8,0.0030563548
temp_delta_1,0.0027826251
people_count_within_3m,0.002782202
people_count_within_2m,0.002775176
minute,0.00276404
seconds_since_previous,0.0026467352
temp_lag_4,0.0025837354
nearest_person_distance,0.002422578
temp_lag_5,0.0018088287
people_count_within_1m,0.0016023199
mean_person_distance,0.0014288386
anchor_x,0.0
requested_horizon_min,0.0
