number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
0,0.6543055969918486,2026-05-31 21:24:34.941006,2026-05-31 21:24:36.170259,0 days 00:00:01.229253,0.6624074561769746,0.06978211022792681,5,9.051933359925457,0.8394633936788146,64,0.44536088973024107,0.8924970650379096,COMPLETE
1,0.6498184850292368,2026-05-31 21:24:36.170298,2026-05-31 21:24:45.971021,0 days 00:00:09.800723,0.8832290311184182,0.00587367134539713,4,10.527937603524286,0.8404460046972835,1172,0.4396213979580454,0.8939664814000382,COMPLETE
2,0.6483021378134154,2026-05-31 21:24:45.971065,2026-05-31 21:24:47.642287,0 days 00:00:01.671222,0.6727299868828402,0.07359661480116786,3,10.156869048804639,0.6849356442713105,145,0.438001859826623,0.8944607610816215,COMPLETE
3,0.649857398877788,2026-05-31 21:24:47.642325,2026-05-31 21:24:52.805135,0 days 00:00:05.162810,0.7164916560792167,0.011622891098010615,4,6.772320747954616,0.7727780074568463,557,0.4397415367140709,0.8939537815586965,COMPLETE
4,0.6595397116084754,2026-05-31 21:24:52.805184,2026-05-31 21:25:02.327897,0 days 00:00:09.522713,0.7824279936868144,0.007361009011511541,7,4.2135911338874,0.7465447373174766,684,0.4534355907973835,0.8907702472494571,COMPLETE
5,0.6617264663503649,2026-05-31 21:25:02.327945,2026-05-31 21:25:12.650156,0 days 00:00:10.322211,0.6185801650879991,0.008697635342236233,9,6.6565788225497275,0.836965827544817,542,0.45718297178355355,0.8900447271549065,COMPLETE
6,0.6677100849783416,2026-05-31 21:25:12.650204,2026-05-31 21:25:24.756844,0 days 00:00:12.106640,0.9862528132298237,0.008022348220849585,7,1.7155675228380747,0.9795542149013333,508,0.4602499515274402,0.8880472097545745,COMPLETE
7,0.6673367547409682,2026-05-31 21:25:24.757226,2026-05-31 21:25:40.194440,0 days 00:00:15.437214,0.7760609974958405,0.01163486988336814,9,2.0743932540702223,0.8736932106048627,464,0.4640529280495232,0.8881723649031342,COMPLETE
8,0.649641039501949,2026-05-31 21:25:40.194513,2026-05-31 21:25:47.350142,0 days 00:00:07.155629,0.7035119926400067,0.0197343313857243,3,1.3782737322674024,0.9637281608315128,370,0.43874535241339396,0.8940243825066633,COMPLETE
9,0.6593878564199126,2026-05-31 21:25:47.350211,2026-05-31 21:26:00.645948,0 days 00:00:13.295737,0.6739417822102108,0.01186608731937191,8,6.720748232955919,0.8186841117373118,372,0.45383804484406015,0.8908205404914451,COMPLETE
10,0.6535358408696582,2026-05-31 21:26:00.646010,2026-05-31 21:26:04.253602,0 days 00:00:03.607592,0.8607466203112715,0.06638517663994345,5,11.664908218666524,0.6118421668094784,83,0.44459589419677126,0.8927498593486909,COMPLETE
11,0.6501358147668759,2026-05-31 21:26:04.253661,2026-05-31 21:26:11.972462,0 days 00:00:07.718801,0.7195978302306094,0.03005903707859257,3,4.1298922411083865,0.6777282877353366,334,0.43887683085705326,0.8938628961525344,COMPLETE
12,0.6495927727590805,2026-05-31 21:26:11.972596,2026-05-31 21:26:20.282984,0 days 00:00:08.310388,0.6172823166331074,0.027567112584559128,3,8.63735171233275,0.95621601194762,371,0.43826691085642483,0.8940401293808575,COMPLETE
13,0.6509209165546382,2026-05-31 21:26:20.283038,2026-05-31 21:26:25.992865,0 days 00:00:05.709827,0.6015884978557516,0.03970875198200255,5,8.79842562738294,0.9212831928626586,186,0.44237664265769555,0.8936063997662461,COMPLETE
14,0.6485068799508122,2026-05-31 21:26:25.992922,2026-05-31 21:26:32.183551,0 days 00:00:06.190629,0.64348359250801,0.04267243092574746,3,8.924159621716468,0.7097939893129923,250,0.4376151670569612,0.8943940892624536,COMPLETE
15,0.6557806861300888,2026-05-31 21:26:32.183607,2026-05-31 21:26:36.252237,0 days 00:00:04.068630,0.6623135172772743,0.04786619635787637,6,10.2576442942041,0.7030811622306712,108,0.44740404894007957,0.8920118019972407,COMPLETE
16,0.6514667557698722,2026-05-31 21:26:36.252292,2026-05-31 21:26:40.102190,0 days 00:00:03.849898,0.7603823878728176,0.048878685410736776,4,8.00365520697579,0.6162340032888043,129,0.43985125917125184,0.8934278891450784,COMPLETE
17,0.6681457473634502,2026-05-31 21:26:40.102249,2026-05-31 21:26:44.790493,0 days 00:00:04.688244,0.8412164821392807,0.07817397421291031,10,11.618717406720005,0.6741038957536337,60,0.4633867419593886,0.8879010698880808,COMPLETE
18,0.6558657604037736,2026-05-31 21:26:44.790550,2026-05-31 21:26:52.061742,0 days 00:00:07.271192,0.9281889012746768,0.021122596133771102,6,10.364162790499295,0.7263710110129423,243,0.4487854467345392,0.8919837816129239,COMPLETE
19,0.6493529833704167,2026-05-31 21:26:52.061799,2026-05-31 21:26:55.871150,0 days 00:00:03.809351,0.7406086632532848,0.054067292413996715,3,7.603027011475973,0.651129729713056,146,0.4379035862449323,0.8941183425757232,COMPLETE
20,0.6500851411887636,2026-05-31 21:26:55.871206,2026-05-31 21:27:01.310161,0 days 00:00:05.438955,0.824254627150687,0.03427705387425311,4,4.368686830297857,0.7850856852040495,211,0.44031519179085854,0.8938794408101209,COMPLETE
21,0.6487499558877361,2026-05-31 21:27:01.310222,2026-05-31 21:27:04.999924,0 days 00:00:03.689702,0.6871343214762989,0.05425694287130978,3,7.8859771730911525,0.6506753618791131,146,0.4383317636950823,0.8943149071676915,COMPLETE
22,0.6493764525472407,2026-05-31 21:27:04.999980,2026-05-31 21:27:08.636401,0 days 00:00:03.636421,0.6482279779456128,0.05669321795743567,3,9.653917150559574,0.645662031076128,146,0.4385676890526072,0.8941106888024742,COMPLETE
23,0.6517030288892873,2026-05-31 21:27:08.636472,2026-05-31 21:27:12.209786,0 days 00:00:03.573314,0.6891404984361571,0.04270598015807367,4,5.501352251287297,0.7023613438310309,137,0.44060060899065845,0.8933505722566911,COMPLETE
24,0.6540747606862454,2026-05-31 21:27:12.209844,2026-05-31 21:27:15.110588,0 days 00:00:02.900744,0.6456000027093999,0.0797255489197425,5,8.192352082749453,0.7442716788022227,77,0.4450652182166069,0.8925729048382879,COMPLETE
25,0.6492022783692433,2026-05-31 21:27:15.110648,2026-05-31 21:27:23.874412,0 days 00:00:08.763764,0.740583839114192,0.022669850559562707,3,5.57339220485045,0.6394633883963157,476,0.43879301032701995,0.8941674839334686,COMPLETE
