horizon,model,split,mae,rmse,r2
10min,baseline,train,0.40512157542445976,0.6029201082935765,0.9198921463598956
10min,baseline,valid,0.5254596741718822,0.7449613343454322,0.8161758405311965
10min,baseline,test,0.483342399505844,0.7023346946185115,0.8789380383595342
20min,baseline,train,0.5061090350373864,0.72367731996819,0.8817676254263018
20min,baseline,valid,0.6602751694567849,0.9043043940217713,0.7206794158753052
20min,baseline,test,0.5854717520205361,0.8191408832215895,0.8293623299379586
10min,tuned,train,0.4366937894695843,0.6765444118359386,0.8991332143943147
10min,tuned,valid,0.5143365220099049,0.7374256853347494,0.8198759740005136
10min,tuned,test,0.4782131746708603,0.7015352923113432,0.8792134686805313
20min,tuned,train,0.5558909133430748,0.8166939220390336,0.8494207481821064
20min,tuned,valid,0.6370473677524197,0.8812390718470513,0.73474648466995
20min,tuned,test,0.5710449903825893,0.8068605187904224,0.8344402969961683
