feature,importance
temp_roll_mean_10,0.48170808
temp_roll_mean_5,0.18368097
temp_roll_mean_20,0.13508171
source_temp,0.022582421
temp_lag_1,0.01126645
temp_roll_mean_30,0.00998771
anchor_x,0.0066970093
display_x,0.00582313
temp_lag_2,0.005243256
object_id,0.004975192
target_minutes_ahead,0.0048053237
hour,0.0045758886
day_of_week,0.0043405034
temp_roll_std_30,0.0039089434
temp_lag_11,0.0037666152
temp_lag_3,0.0034766889
nearest_person_dx,0.003404961
temp_lag_21,0.003403667
temp_roll_std_20,0.0033720082
temp_lag_6,0.0033331863
people_count_within_2m,0.0033062045
temp_lag_30,0.0033000647
minute,0.0032717441
canonical_label,0.0032474822
temp_lag_19,0.0031106852
temp_lag_28,0.0029696121
anchor_y,0.0029392093
temp_lag_27,0.002935142
temp_lag_17,0.0029225356
display_y,0.0028723325
temp_lag_25,0.002845997
temp_roll_std_5,0.002722581
temp_lag_23,0.0027016655
temp_lag_26,0.0026819038
temp_lag_15,0.0026702743
temp_lag_29,0.0025352961
temp_lag_20,0.0024942125
temp_roll_std_10,0.0024462107
temp_lag_24,0.0024167658
people_count_within_1m,0.002390289
nearest_person_dy,0.002342439
temp_lag_16,0.002255469
temp_lag_22,0.0022462788
mean_person_distance,0.002243766
temp_lag_12,0.0021907396
nearest_person_distance,0.0021546395
temp_lag_7,0.0020968213
people_count_total,0.0020343529
temp_lag_9,0.0020328853
temp_lag_14,0.0019748842
temp_lag_10,0.0019503736
seconds_since_previous,0.001938486
temp_lag_18,0.0019096667
temp_lag_8,0.0018858595
temp_lag_5,0.0018306805
people_count_within_3m,0.0017975307
temp_lag_13,0.0017135964
temp_lag_4,0.0015470883
temp_delta_1,0.0012828058
observations_in_frame,0.0003576504
requested_horizon_min,0.0
