feature,importance
temp_roll_mean_10,0.3028191
temp_roll_mean_20,0.19605191
temp_roll_mean_5,0.16896863
temp_roll_mean_30,0.066762455
source_temp,0.04608992
temp_lag_1,0.019121474
temp_lag_3,0.014755006
temp_lag_2,0.01141046
temp_lag_24,0.009647575
temp_lag_15,0.008355415
temp_lag_11,0.0059713153
object_id,0.0059065153
canonical_label,0.005788597
temp_lag_17,0.0054713953
display_x,0.0052636014
people_count_within_3m,0.0051665925
temp_lag_25,0.0051662493
hour,0.004780037
temp_lag_10,0.0046244874
target_minutes_ahead,0.0045100492
day_of_week,0.0044469577
temp_lag_4,0.004250058
people_count_within_1m,0.0042255693
temp_lag_26,0.0038835872
temp_lag_7,0.0037588915
temp_lag_13,0.0036707318
temp_roll_std_20,0.00364604
temp_lag_21,0.0035243102
temp_lag_6,0.003463921
temp_lag_14,0.0032340968
display_y,0.0032260406
temp_lag_5,0.0030186628
nearest_person_dx,0.0030082322
minute,0.0029667094
temp_lag_16,0.0029211247
anchor_x,0.0028691709
temp_lag_22,0.0028340206
temp_roll_std_30,0.002831541
temp_lag_29,0.0027891085
temp_lag_18,0.0027101499
temp_lag_8,0.0025472722
temp_lag_27,0.0025282637
temp_lag_9,0.0025164157
temp_lag_12,0.0025124005
temp_lag_19,0.0024784363
temp_roll_std_10,0.0021721586
temp_lag_23,0.0021291338
temp_roll_std_5,0.0020868706
people_count_within_2m,0.0020303386
temp_lag_20,0.0019628922
temp_lag_28,0.0019400578
nearest_person_dy,0.0019115601
temp_lag_30,0.0017519046
nearest_person_distance,0.0017487289
mean_person_distance,0.001523839
people_count_total,0.0014879296
seconds_since_previous,0.001435887
temp_delta_1,0.0013261499
anchor_y,0.0
observations_in_frame,0.0
requested_horizon_min,0.0
