feature,importance
temp_roll_mean_10,0.45366377
temp_roll_mean_5,0.22849819
temp_roll_mean_20,0.16551806
source_temp,0.024542943
temp_roll_mean_30,0.011503832
temp_lag_1,0.00777255
temp_lag_2,0.0045900163
temp_lag_3,0.0042607742
anchor_x,0.003799759
object_id,0.0032866658
day_of_week,0.003264877
hour,0.003186223
anchor_y,0.003022801
temp_roll_std_30,0.002622203
temp_lag_18,0.002613987
display_x,0.0025227058
display_y,0.0024918772
temp_lag_19,0.0024025913
temp_roll_std_20,0.0023543024
minute,0.002238636
nearest_person_dx,0.0021813798
canonical_label,0.0021802564
temp_lag_30,0.0021392968
temp_lag_23,0.0021214397
temp_lag_15,0.0020927552
temp_lag_24,0.0020316201
temp_roll_std_10,0.002017004
temp_lag_27,0.001975028
people_count_total,0.0019663316
temp_lag_25,0.0019535373
temp_lag_29,0.0019330521
temp_roll_std_5,0.0019319619
temp_lag_20,0.0018563721
temp_lag_21,0.0018526118
temp_lag_16,0.0018392164
temp_lag_22,0.001801373
target_minutes_ahead,0.0017676837
temp_lag_12,0.0017497612
temp_lag_26,0.0016818641
nearest_person_dy,0.0016431067
temp_lag_13,0.0016094677
temp_lag_17,0.0016008196
temp_lag_28,0.0015740795
mean_person_distance,0.0015464717
temp_lag_11,0.0015446986
temp_lag_6,0.0014812283
temp_lag_7,0.0014539751
temp_lag_14,0.0014156043
nearest_person_distance,0.0014146753
people_count_within_3m,0.0013565642
temp_lag_4,0.0013403235
seconds_since_previous,0.0013016056
temp_lag_8,0.0012957676
temp_delta_1,0.0012221397
temp_lag_9,0.0011769611
temp_lag_10,0.0010774771
temp_lag_5,0.0010763935
observations_in_frame,0.0010380358
people_count_within_1m,0.0009078241
people_count_within_2m,0.00087180355
requested_horizon_min,0.0008217614
