canonical_label,feature,importance
Cableduct,object_id,0
Cableduct,canonical_label,0
Cableduct,display_x,0
Cableduct,display_y,0
Cableduct,anchor_x,0
Cableduct,anchor_y,0
Cableduct,hour,0
Cableduct,minute,0
Cableduct,day_of_week,0
Cableduct,source_temp,0
Cableduct,people_count_total,0
Cableduct,people_count_within_1m,0
Cableduct,people_count_within_2m,0
Cableduct,people_count_within_3m,0
Cableduct,nearest_person_distance,0
Cableduct,mean_person_distance,0
Cableduct,nearest_person_dx,0
Cableduct,nearest_person_dy,0
Cableduct,temp_lag_1,0
Cableduct,temp_lag_2,0
Cableduct,temp_lag_3,0
Cableduct,temp_lag_4,0
Cableduct,temp_lag_5,0
Cableduct,temp_lag_6,0
Cableduct,temp_lag_7,0
Cableduct,temp_lag_8,0
Cableduct,temp_lag_9,0
Cableduct,temp_lag_10,0
Cableduct,temp_lag_11,0
Cableduct,temp_lag_12,0
Cableduct,temp_lag_13,0
Cableduct,temp_lag_14,0
Cableduct,temp_lag_15,0
Cableduct,temp_lag_16,0
Cableduct,temp_lag_17,0
Cableduct,temp_lag_18,0
Cableduct,temp_lag_19,0
Cableduct,temp_lag_20,0
Cableduct,temp_lag_21,0
Cableduct,temp_lag_22,0
Cableduct,temp_lag_23,0
Cableduct,temp_lag_24,0
Cableduct,temp_lag_25,0
Cableduct,temp_lag_26,0
Cableduct,temp_lag_27,0
Cableduct,temp_lag_28,0
Cableduct,temp_lag_29,0
Cableduct,temp_lag_30,0
Cableduct,temp_roll_mean_5,0
Cableduct,temp_roll_mean_10,0
Cableduct,temp_roll_mean_20,0
Cableduct,temp_roll_mean_30,0
Cableduct,temp_roll_std_5,0
Cableduct,temp_roll_std_10,0
Cableduct,temp_roll_std_20,0
Cableduct,temp_roll_std_30,0
Cableduct,temp_delta_1,0
Cableduct,seconds_since_previous,0
Cableduct,observations_in_frame,0
Cableduct,target_minutes_ahead,0
Cableduct,requested_horizon_min,0
Machine,object_id,0
Machine,canonical_label,0
Machine,display_x,0
Machine,display_y,0
Machine,anchor_x,0
Machine,anchor_y,0
Machine,hour,0
Machine,minute,0
Machine,day_of_week,0
Machine,source_temp,0
Machine,people_count_total,0
Machine,people_count_within_1m,0
Machine,people_count_within_2m,0
Machine,people_count_within_3m,0
Machine,nearest_person_distance,0
Machine,mean_person_distance,0
Machine,nearest_person_dx,0
Machine,nearest_person_dy,0
Machine,temp_lag_1,0
Machine,temp_lag_2,0
Machine,temp_lag_3,0
Machine,temp_lag_4,0
Machine,temp_lag_5,0
Machine,temp_lag_6,0
Machine,temp_lag_7,0
