split,canonical_label,requested_horizon_min,rows,mae,rmse,r2,mean_error,ci_width_mean,ci_coverage
test,Cableduct,5.0,6697,0.41059559797325246,0.5531782696534532,0.5459028042857429,0.16952915704454155,1.2354110479354858,0.7394355681648499
test,Cableduct,10.0,6640,0.424776699203816,0.5707413234912343,0.5276664485333722,0.15015651623530868,1.2368546724319458,0.7240963855421687
test,Machine,5.0,5037,0.4149573352494277,0.5576532476411529,0.5982761325391209,0.1743349848031791,1.1093246936798096,0.6702402223545761
test,Machine,10.0,5014,0.45555914962136784,0.5993881815850599,0.5282239701699065,0.19547304184623382,1.1663447618484497,0.637016354208217
test,Screen,5.0,3728,0.5043824454547734,0.6376252680051915,0.3762829444700807,0.30400484678960976,1.5245542526245117,0.628755364806867
test,Screen,10.0,3691,0.5396621287521325,0.6823926148835547,0.2921152282018271,0.30010206148255997,1.5678050518035889,0.6290978054727716
test,Window,5.0,1109,0.4745169977201801,0.6011240969334363,0.5204154823785963,0.13310440584933642,3.2091548442840576,0.6284941388638413
test,Window,10.0,1124,0.5168831837388443,0.6488883217522176,0.42561697354874506,0.057476287773376704,3.23508358001709,0.6565836298932385
train,Cableduct,5.0,13312,0.23297794511996173,0.3501832232600338,0.8104717732708857,-0.0029756690292236216,1.2260721921920776,0.9507962740384616
train,Cableduct,10.0,13221,0.2394407062263517,0.3562092433658786,0.8035569153661658,0.002736306902625438,1.2661449909210205,0.951819075712881
train,Machine,5.0,7956,0.21750545988007894,0.30700843274348844,0.9344311319152357,-0.002062415960880527,1.2930104732513428,0.9551282051282052
train,Machine,10.0,7993,0.2296644203966251,0.32035130373918,0.9275747192902646,0.002013939108432548,1.3420052528381348,0.9537094958088327
train,Screen,5.0,10208,0.32070262152847007,0.4751960379219702,0.8841454077550803,-0.002207748619593794,1.591180443763733,0.9543495297805643
train,Screen,10.0,10142,0.35517548590817277,0.5202911871490126,0.8632306350250393,0.0008992690549687671,1.6756792068481445,0.9497140603431276
train,Window,5.0,999,0.12722655623763418,0.17264358692016454,0.9786962736295391,0.0018124601100123908,2.8373725414276123,0.965965965965966
train,Window,10.0,1019,0.12353782617019785,0.17161729876406093,0.9795984089106937,-0.0008626092461014172,2.8380606174468994,0.956820412168793
valid,Cableduct,5.0,2935,0.32117462250643836,0.43907139834476244,0.4855584691802364,0.009909158540513219,1.3729788064956665,0.9011925042589438
valid,Cableduct,10.0,2933,0.33133056040570136,0.44905041656372024,0.45526162012332105,0.005364892873041566,1.4162259101867676,0.8960109103307194
valid,Machine,5.0,1309,0.2510216017193542,0.32107281620904077,0.7075323452527209,0.05095179039734684,1.247200846672058,0.894576012223071
valid,Machine,10.0,1304,0.25089347478845514,0.32096317847435457,0.7090718327849062,0.05854476280455801,1.3086488246917725,0.8895705521472392
valid,Screen,5.0,1798,0.31039289733845987,0.4130804498943146,0.7686063917688808,0.1178621149446108,1.648288369178772,0.9482758620689655
valid,Screen,10.0,1782,0.33167972565793297,0.4373173815719498,0.7366611813294079,0.13819746881624134,1.7173691987991333,0.9315375982042648
valid,Window,5.0,29,0.4845132798314584,0.5417529204021616,-3.180322004431952,-0.44649818928054247,1.5749703645706177,1.0
valid,Window,10.0,31,0.6510277499763732,0.719116610716728,-5.120415838035981,-0.6510277499763732,1.612289547920227,0.967741935483871
