number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,user_attrs_best_iteration,user_attrs_valid_mae,user_attrs_valid_r2,state
0,0.5996862246010538,2026-05-27 00:42:09.082591,2026-05-27 00:42:10.982794,0 days 00:00:01.900203,0.6624074561769746,0.06978211022792681,5,9.051933359925457,0.8394633936788146,53,0.4592065157470265,0.40613541900521877,COMPLETE
1,0.5771942810365016,2026-05-27 00:42:10.982839,2026-05-27 00:42:20.334447,0 days 00:00:09.351608,0.8832290311184182,0.00587367134539713,4,10.527937603524286,0.8404460046972835,670,0.4419135147784715,0.4498472131799971,COMPLETE
2,0.5650923673791802,2026-05-27 00:42:20.334496,2026-05-27 00:42:22.781309,0 days 00:00:02.446813,0.6727299868828402,0.07359661480116786,3,10.156869048804639,0.6849356442713105,85,0.42662638871760755,0.47267524289413476,COMPLETE
3,0.5756777938994057,2026-05-27 00:42:22.781366,2026-05-27 00:42:29.475908,0 days 00:00:06.694542,0.7164916560792167,0.011622891098010615,4,6.772320747954616,0.7727780074568463,421,0.43932893428553116,0.4527342952476542,COMPLETE
4,0.6453572477669868,2026-05-27 00:42:29.475960,2026-05-27 00:42:39.871720,0 days 00:00:10.395760,0.7824279936868144,0.007361009011511541,7,4.2135911338874,0.7465447373174766,444,0.5024810638266157,0.3122356475164243,COMPLETE
5,0.6279446108570875,2026-05-27 00:42:39.871782,2026-05-27 00:42:52.883829,0 days 00:00:13.012047,0.6185801650879991,0.008697635342236233,9,6.6565788225497275,0.836965827544817,439,0.4885057015219941,0.3488486374066939,COMPLETE
6,0.6491850675147044,2026-05-27 00:42:52.883950,2026-05-27 00:43:04.686593,0 days 00:00:11.802643,0.9862528132298237,0.008022348220849585,7,1.7155675228380747,0.9795542149013333,434,0.504400814764982,0.30405275195821435,COMPLETE
7,0.6659730557768695,2026-05-27 00:43:04.686660,2026-05-27 00:43:17.174355,0 days 00:00:12.487695,0.7760609974958405,0.01163486988336814,9,2.0743932540702223,0.8736932106048627,322,0.5205226190954296,0.26759281552009295,COMPLETE
8,0.5697218918349667,2026-05-27 00:43:17.174422,2026-05-27 00:43:22.907827,0 days 00:00:05.733405,0.7035119926400067,0.0197343313857243,3,1.3782737322674024,0.9637281608315128,304,0.4325099409959289,0.46399962441134124,COMPLETE
9,0.6476311236860003,2026-05-27 00:43:22.907872,2026-05-27 00:43:31.648149,0 days 00:00:08.740277,0.6739417822102108,0.01186608731937191,8,6.720748232955919,0.8186841117373118,287,0.5059634361237548,0.30738051978609415,COMPLETE
10,0.6020471560345904,2026-05-27 00:43:31.648197,2026-05-27 00:43:34.317603,0 days 00:00:02.669406,0.8607466203112715,0.06638517663994345,5,11.664908218666524,0.6118421668094784,67,0.4746603615512081,0.4014501904912041,COMPLETE
11,0.5678902485046644,2026-05-27 00:43:34.317650,2026-05-27 00:43:37.571141,0 days 00:00:03.253491,0.7195978302306094,0.03005903707859257,3,4.1298922411083865,0.6777282877353366,131,0.4302404948094686,0.46744054306381677,COMPLETE
12,0.5676731603125249,2026-05-27 00:43:37.571188,2026-05-27 00:43:40.088302,0 days 00:00:02.517114,0.6207835621199532,0.039712047583022055,3,4.14439739289609,0.6626536255505955,93,0.42958939081988384,0.46784762972313887,COMPLETE
13,0.5938067984290338,2026-05-27 00:43:40.088348,2026-05-27 00:43:42.786231,0 days 00:00:02.697883,0.6016371372070916,0.04058608555111483,5,8.551446434319812,0.6863344162851542,80,0.45581335765066366,0.41772303526102705,COMPLETE
14,0.5653061032900224,2026-05-27 00:43:42.786283,2026-05-27 00:43:46.109587,0 days 00:00:03.323304,0.64348359250801,0.04479517029641674,3,4.077688611151027,0.6207825538479266,153,0.4258818868164907,0.47227626545717905,COMPLETE
15,0.6246759080621044,2026-05-27 00:43:46.109641,2026-05-27 00:43:48.682846,0 days 00:00:02.573205,0.6623135172772743,0.07898455773069707,6,8.831755824347528,0.6192491476434905,56,0.48041935569748934,0.3556100001219439,COMPLETE
16,0.5676814097735574,2026-05-27 00:43:48.682890,2026-05-27 00:43:51.074475,0 days 00:00:02.391585,0.7603823878728176,0.049376476731847155,4,5.599137226411058,0.7274873668776182,74,0.4330487561721527,0.46783216306927333,COMPLETE
17,0.6529964738946251,2026-05-27 00:43:51.074521,2026-05-27 00:44:00.211616,0 days 00:00:09.137095,0.8412164821392807,0.02507589329532792,10,3.2918653049592166,0.6370336109202344,160,0.5104852897376082,0.29585686291976554,COMPLETE
18,0.6294608092213362,2026-05-27 00:44:00.211658,2026-05-27 00:44:03.079743,0 days 00:00:02.868085,0.9281889012746768,0.054279984225752996,6,5.485041181142531,0.7176966401771596,60,0.4853775000951756,0.34570037712523427,COMPLETE
19,0.5687412373044138,2026-05-27 00:44:03.079789,2026-05-27 00:44:08.274857,0 days 00:00:05.195068,0.7406086632532848,0.01748095598370772,3,11.661968372535894,0.6043956756975085,294,0.4311973111563606,0.4658432566231864,COMPLETE
20,0.5758570964486097,2026-05-27 00:44:08.274907,2026-05-27 00:44:11.899684,0 days 00:00:03.624777,0.824254627150687,0.03161170802489131,4,7.701859518315638,0.6967245339373968,146,0.43747357410202903,0.4523933357097222,COMPLETE
21,0.5672292376556435,2026-05-27 00:44:11.899730,2026-05-27 00:44:14.342679,0 days 00:00:02.442949,0.6283346029957468,0.04256921914996853,3,2.7786534367562776,0.6559259296345419,90,0.427797891640833,0.4686795948130318,COMPLETE
22,0.5687223237811829,2026-05-27 00:44:14.342724,2026-05-27 00:44:16.840488,0 days 00:00:02.497764,0.6393783999957465,0.05307883380889375,3,2.512970086094848,0.6479060789135644,99,0.42784091393287155,0.4658787828601736,COMPLETE
23,0.5725647775209723,2026-05-27 00:44:16.840537,2026-05-27 00:44:19.670421,0 days 00:00:02.829884,0.6891404984361571,0.04067368273592534,4,3.0044562547461866,0.774439933428912,93,0.43445622957935554,0.4586370444143779,COMPLETE
24,0.5915576361117623,2026-05-27 00:44:19.670473,2026-05-27 00:44:22.243366,0 days 00:00:02.572893,0.6598056165143145,0.06397922994261368,5,5.002540933227708,0.6532771196431788,69,0.4484186754406293,0.42212566304302557,COMPLETE
25,0.5678627945291294,2026-05-27 00:44:22.243430,2026-05-27 00:44:25.855905,0 days 00:00:03.612475,0.6360696211789711,0.026696196263754822,3,3.232608659653818,0.6954839008590911,155,0.43013408905248535,0.4674920337204209,COMPLETE
26,0.586654121643533,2026-05-27 00:44:25.855993,2026-05-27 00:44:28.489879,0 days 00:00:02.633886,0.7423777111584403,0.04563027668531869,4,10.095790771238384,0.9266141072042148,90,0.45569544821682195,0.4316661401105921,COMPLETE
27,0.5653006844782364,2026-05-27 00:44:28.489923,2026-05-27 00:44:30.888384,0 days 00:00:02.398461,0.6872636261566608,0.07972164958662038,3,4.98351242620103,0.6306345058779915,85,0.42450971985383423,0.4722863825313449,COMPLETE
28,0.6289053456287472,2026-05-27 00:44:30.888433,2026-05-27 00:44:33.380001,0 days 00:00:02.491568,0.8069410260856268,0.07934272390939817,6,7.466708795047635,0.6009035181725345,56,0.479355263160448,0.3468546325017945,COMPLETE
29,0.6164711035851541,2026-05-27 00:44:33.380047,2026-05-27 00:44:35.915631,0 days 00:00:02.535584,0.6822333262468947,0.06129491784604696,5,4.98743289535847,0.6283600475558277,72,0.47223353754412445,0.3724263115101982,COMPLETE
