horizon,model,split,mae,rmse,r2
05min,baseline_07_1,train,0.2878132514648675,0.4292216422551355,0.8563820811702556
05min,baseline_07_1,valid,0.48635313184464113,0.626884434216375,0.3510454958423668
05min,baseline_07_1,test,0.3209563243793235,0.4331995689109308,0.7375625032194751
10min,baseline_07_1,train,0.3310007288659784,0.48046930783844255,0.820832285740249
10min,baseline_07_1,valid,0.565750599714032,0.6965384890549404,0.2357428074829956
10min,baseline_07_1,test,0.3596797944092677,0.4720510968529317,0.6879739342806883
05min,tuned,train,0.30815178551950395,0.47094547243293555,0.827103318629002
05min,tuned,valid,0.4164351378758749,0.5576374959507652,0.4864967280219401
05min,tuned,test,0.29709371123487177,0.420094346055256,0.7532009247136574
10min,tuned,train,0.3386793088964403,0.5057103756061244,0.8015129483691871
10min,tuned,valid,0.47513762507792734,0.6109189290197822,0.4120824032513388
10min,tuned,test,0.3307996743875227,0.451726111237092,0.714265130279887
